Date,CNYRUB_TOM
2022-01-03,11.685
2022-01-04,11.815
2022-01-05,12.0325
2022-01-06,11.935
2022-01-07,11.8375
2022-01-10,11.775
2022-01-11,11.6725
2022-01-12,11.7502
2022-01-13,12.0
2022-01-14,11.995
2022-01-17,11.9925
2022-01-18,12.1075
2022-01-19,12.0
2022-01-20,12.0725
2022-01-21,12.2125
2022-01-24,12.44
2022-01-25,12.4225
2022-01-26,12.5555
2022-01-27,12.265
2022-01-28,12.2375
2022-01-31,12.1675
2022-02-01,12.0725
2022-02-02,11.97
2022-02-03,12.04
2022-02-04,11.92
2022-02-07,11.8725
2022-02-08,11.785
2022-02-09,11.74
2022-02-10,11.78
2022-02-11,12.115
2022-02-14,12.085
2022-02-15,11.9125
2022-02-16,11.8824
2022-02-17,12.065
2022-02-18,12.225
2022-02-21,12.6175
2022-02-22,12.445
2022-02-23,12.8225
2022-02-24,15.3373
2022-02-25,13.6071
2022-02-28,16.501
2022-03-01,16.7
2022-03-02,17.52
2022-03-03,19.0
2022-03-04,20.02
2022-03-09,21.3999
2022-03-10,20.1318
2022-03-11,18.92
2022-03-14,17.9
2022-03-15,17.755
2022-03-16,17.85
2022-03-17,16.516
2022-03-18,16.6127
2022-03-21,16.4082
2022-03-22,16.38
2022-03-23,15.6
2022-03-24,15.299
2022-03-25,15.468
2022-03-28,14.8101
2022-03-29,13.69
2022-03-30,13.47
2022-03-31,13.4096
2022-04-01,13.35
2022-04-04,13.34
2022-04-05,13.3055
2022-04-06,13.079
2022-04-07,12.44
2022-04-08,12.23
2022-04-11,12.545
2022-04-12,12.5301
2022-04-13,12.7368
2022-04-14,12.729
2022-04-15,12.718
2022-04-18,12.615
2022-04-19,12.31
2022-04-20,12.12
2022-04-21,11.93
2022-04-22,11.6
2022-04-25,11.2399
2022-04-26,11.1216
2022-04-27,11.145
2022-04-28,11.15
2022-04-29,10.86
2022-05-04,10.0409
2022-05-05,10.2352
2022-05-06,10.5001
2022-05-11,10.06
2022-05-12,9.336
2022-05-13,9.55
2022-05-16,9.468
2022-05-17,9.5849
2022-05-18,9.3975
2022-05-19,9.175
2022-05-20,8.9298
2022-05-23,8.75
2022-05-24,8.632
2022-05-25,9.4007
2022-05-26,9.891
2022-05-27,10.0479
2022-05-30,9.4744
2022-05-31,9.47
2022-06-01,9.306
2022-06-02,9.3401
2022-06-03,9.3941
2022-06-06,9.3214
2022-06-07,9.3081
2022-06-08,9.2497
2022-06-09,9.1114
2022-06-10,8.777
2022-06-14,8.52
2022-06-15,8.62
2022-06-16,8.6265
2022-06-17,8.43
2022-06-20,8.439
2022-06-21,8.129
2022-06-22,8.035
2022-06-23,8.0186
2022-06-24,8.1634
2022-06-27,8.0501
2022-06-28,7.83
2022-06-29,8.2031
2022-06-30,7.9901
2022-07-01,8.7511
2022-07-04,8.675
2022-07-05,9.3999
2022-07-06,9.7485
2022-07-07,9.5355
2022-07-08,9.2762
2022-07-11,8.902
2022-07-12,8.8418
2022-07-13,8.7052
2022-07-14,8.6563
2022-07-15,8.5901
2022-07-18,8.44
2022-07-19,8.3
2022-07-20,8.15
2022-07-21,8.52
2022-07-22,8.5837
2022-07-25,8.6894
2022-07-26,9.2
2022-07-27,8.9971
2022-07-28,9.1401
2022-07-29,9.3299
2022-08-01,9.033
2022-08-02,8.97
2022-08-03,8.986
2022-08-04,8.94
2022-08-05,9.052
2022-08-08,9.027
2022-08-09,8.924
2022-08-10,9.09
2022-08-11,9.026
2022-08-12,8.995
2022-08-15,9.03
2022-08-16,8.97
2022-08-17,8.901
2022-08-18,8.756
2022-08-19,8.61
2022-08-22,8.711
2022-08-23,8.72
2022-08-24,8.748
2022-08-25,8.755
2022-08-26,8.765
2022-08-29,8.726
2022-08-30,8.675
2022-08-31,8.72
2022-09-01,8.727
2022-09-02,8.805
2022-09-05,8.738
2022-09-06,8.765
2022-09-07,8.732
2022-09-08,8.731
2022-09-09,8.723
2022-09-12,8.713
2022-09-13,8.595
2022-09-14,8.588
2022-09-15,8.571
2022-09-16,8.546
2022-09-19,8.559
2022-09-20,8.645
2022-09-21,8.577
2022-09-22,8.303
2022-09-23,8.092
2022-09-26,8.12
2022-09-27,8.155
2022-09-28,8.023
2022-09-29,8.12
2022-09-30,8.341
2022-10-03,8.268
2022-10-04,8.199
2022-10-05,8.575
2022-10-06,8.555
2022-10-07,8.497
2022-10-10,8.657
2022-10-11,8.683
2022-10-12,8.683
2022-10-13,8.685
2022-10-14,8.602
2022-10-17,8.533
2022-10-18,8.505
2022-10-19,8.462
2022-10-20,8.438
2022-10-21,8.309
2022-10-24,8.332
2022-10-25,8.407
2022-10-26,8.5
2022-10-27,8.47
2022-10-28,8.403
2022-10-31,8.385
2022-11-01,8.397
2022-11-02,8.414
2022-11-03,8.407
2022-11-07,8.417
2022-11-08,8.372
2022-11-09,8.454
2022-11-10,8.391
2022-11-11,8.473
2022-11-14,8.534
2022-11-15,8.55
2022-11-16,8.493
2022-11-17,8.453
2022-11-18,8.49
2022-11-21,8.47
2022-11-22,8.47
2022-11-23,8.44
2022-11-24,8.449
2022-11-25,8.415
2022-11-28,8.436
2022-11-29,8.468
2022-11-30,8.593
2022-12-01,8.724
2022-12-02,8.805
2022-12-05,8.93
2022-12-06,8.958
2022-12-07,9.005
2022-12-08,8.999
2022-12-09,8.978
2022-12-12,8.985
2022-12-13,9.045
2022-12-14,9.165
2022-12-15,9.215
2022-12-16,9.279
2022-12-19,9.657
2022-12-20,9.89
2022-12-21,10.079
2022-12-22,9.769
2022-12-23,9.92
2022-12-26,9.774
2022-12-27,9.98
2022-12-28,10.249
2022-12-29,10.186
2022-12-30,9.912
2023-01-03,10.11
2023-01-04,10.265
2023-01-05,10.417
2023-01-06,10.437
2023-01-09,10.219
2023-01-10,10.279
2023-01-11,10.074
2023-01-12,10.021
2023-01-13,10.19
2023-01-16,10.149
2023-01-17,10.19
2023-01-18,10.19
2023-01-19,10.129
2023-01-20,10.119
2023-01-23,10.128
2023-01-24,10.138
2023-01-25,10.216
2023-01-26,10.279
2023-01-27,10.26
2023-01-30,10.405
2023-01-31,10.348
2023-02-01,10.391
2023-02-02,10.451
2023-02-03,10.417
2023-02-06,10.419
2023-02-07,10.455
2023-02-08,10.67
2023-02-09,10.767
2023-02-10,10.749
2023-02-13,10.8
2023-02-14,10.803
2023-02-15,10.87
2023-02-16,10.875
2023-02-17,10.76
2023-02-20,10.87
2023-02-21,10.85
2023-02-22,10.903
2023-02-24,10.965
2023-02-27,10.71
2023-02-28,10.78
2023-03-01,10.909
2023-03-02,10.865
2023-03-03,10.926
2023-03-06,10.855
2023-03-07,10.875
2023-03-09,10.856
2023-03-10,10.965
2023-03-13,10.927
2023-03-14,10.937
2023-03-15,11.0
2023-03-16,11.09
2023-03-17,11.19
2023-03-20,11.19
2023-03-21,11.161
2023-03-22,11.185
2023-03-23,11.105
2023-03-24,11.139
2023-03-27,11.113
2023-03-28,11.173
2023-03-29,11.2
2023-03-30,11.192
2023-03-31,11.281
2023-04-03,11.428
2023-04-04,11.503
2023-04-05,11.578
2023-04-06,11.8
2023-04-07,11.812
2023-04-10,11.849
2023-04-11,11.909
2023-04-12,11.885
2023-04-13,11.855
2023-04-14,11.896
2023-04-17,11.814
2023-04-18,11.844
2023-04-19,11.855
2023-04-20,11.824
2023-04-21,11.819
2023-04-24,11.772
2023-04-25,11.757
2023-04-26,11.754
2023-04-27,11.705
2023-04-28,11.586
2023-05-02,11.496
2023-05-03,11.454
2023-05-04,11.269
2023-05-05,11.166
2023-05-08,11.242
2023-05-10,10.956
2023-05-11,11.043
2023-05-12,11.125
2023-05-15,11.379
2023-05-16,11.489
2023-05-17,11.396
2023-05-18,11.404
2023-05-19,11.372
2023-05-22,11.371
2023-05-23,11.335
2023-05-24,11.325
2023-05-25,11.327
2023-05-26,11.303
2023-05-29,11.389
2023-05-30,11.427
2023-05-31,11.379
2023-06-01,11.349
2023-06-02,11.472
2023-06-05,11.368
2023-06-06,11.412
2023-06-07,11.478
2023-06-08,11.596
2023-06-09,11.56
2023-06-13,11.735
2023-06-14,11.741
2023-06-15,11.728
2023-06-16,11.765
2023-06-19,11.729
2023-06-20,11.765
2023-06-21,11.648
2023-06-22,11.65
2023-06-23,11.709
2023-06-26,11.73
2023-06-27,11.788
2023-06-28,11.899
2023-06-29,12.057
2023-06-30,12.332
2023-07-03,12.182
2023-07-04,12.334
2023-07-05,12.541
2023-07-06,12.58
2023-07-07,12.648
2023-07-10,12.484
2023-07-11,12.5
2023-07-12,12.696
2023-07-13,12.591
2023-07-14,12.62
2023-07-17,12.674
2023-07-18,12.627
2023-07-19,12.647
2023-07-20,12.575
