Date,GLDRUB_TOM
2022-01-03,4317.0
2022-01-04,4394.0
2022-01-05,4481.5
2022-01-06,4388.0
2022-01-07,4340.0
2022-01-10,4351.01
2022-01-11,4359.0
2022-01-12,4389.5
2022-01-13,4464.5
2022-01-14,4462.0
2022-01-17,4441.5
2022-01-18,4487.5
2022-01-19,4512.0
2022-01-20,4536.5
2022-01-21,4562.0
2022-01-24,4663.77
2022-01-25,4665.0
2022-01-26,4662.0
2022-01-27,4500.0
2022-01-28,4470.5
2022-01-31,4473.5
2022-02-01,4460.5
2022-02-02,4427.0
2022-02-03,4438.0
2022-02-04,4404.0
2022-02-07,4418.5
2022-02-08,4405.5
2022-02-09,4392.5
2022-02-10,4403.0
2022-02-11,4591.0
2022-02-14,4632.75
2022-02-15,4498.0
2022-02-16,4528.0
2022-02-17,4655.0
2022-02-18,4708.5
2022-02-21,4876.5
2022-02-22,4917.0
2022-02-23,4964.0
2022-02-24,5330.0
2022-02-25,5075.5
2022-02-28,6000.0
2022-03-01,5500.1
2022-03-02,6251.0
2022-03-03,7056.4
2022-03-04,6872.0
2022-03-09,7900.0
2022-03-10,7949.97
2022-03-11,7540.0
2022-03-14,7200.0
2022-03-15,6837.5
2022-03-16,6499.9
2022-03-17,6537.0
2022-03-18,6538.88
2022-03-21,6400.0
2022-03-22,6360.0
2022-03-23,6100.0
2022-03-24,5960.0
2022-03-25,5945.0
2022-03-28,5600.0
2022-03-29,5250.0
2022-03-30,5109.99
2022-03-31,5030.01
2022-04-01,5000.0
2022-04-04,5010.04
2022-04-05,5199.98
2022-04-06,5025.0
2022-04-07,4818.99
2022-04-08,4770.0
2022-04-11,4980.0
2022-04-12,4964.98
2022-04-13,4978.97
2022-04-14,5040.0
2022-04-15,5050.0
2022-04-18,5068.0
2022-04-19,5049.99
2022-04-20,4881.0
2022-04-21,4765.0
2022-04-22,4661.67
2022-04-25,4625.01
2022-04-26,4444.99
2022-04-27,4368.0
2022-04-28,4205.0
2022-04-29,4250.0
2022-05-04,3885.0
2022-05-05,4050.0
2022-05-06,4169.99
2022-05-11,4050.0
2022-05-12,3842.0
2022-05-13,3760.0
2022-05-16,3692.99
2022-05-17,3643.97
2022-05-18,3441.98
2022-05-19,3484.98
2022-05-20,3493.49
2022-05-23,3479.9
2022-05-24,3329.19
2022-05-25,3498.98
2022-05-26,3705.0
2022-05-27,3692.98
2022-05-30,3599.94
2022-05-31,3529.84
2022-06-01,3470.0
2022-06-02,3464.99
2022-06-03,3484.98
2022-06-06,3487.97
2022-06-07,3449.59
2022-06-08,3385.0
2022-06-09,3255.02
2022-06-10,3347.17
2022-06-14,3300.0
2022-06-15,3295.68
2022-06-16,3242.0
2022-06-17,3233.01
2022-06-20,3239.99
2022-06-21,3198.0
2022-06-22,3145.0
2022-06-23,3035.0
2022-06-24,3030.0
2022-06-27,3000.0
2022-06-28,2986.99
2022-06-29,3050.0
2022-06-30,2999.3
2022-07-01,3166.5
2022-07-04,3159.98
2022-07-05,3380.0
2022-07-06,3478.6
2022-07-07,3404.1
2022-07-08,3259.0
2022-07-11,3196.99
2022-07-12,3150.0
2022-07-13,3114.99
2022-07-14,3088.0
2022-07-15,3050.0
2022-07-18,2980.0
2022-07-19,2974.5
2022-07-20,2975.4
2022-07-21,3010.0
2022-07-22,3084.99
2022-07-25,3070.0
2022-07-26,3232.23
2022-07-27,3257.09
2022-07-28,3384.29
2022-07-29,3428.0
2022-08-01,3440.9
2022-08-02,3490.01
2022-08-03,3426.07
2022-08-04,3472.56
2022-08-05,3478.0
2022-08-08,3440.0
