Date,GMKN
2022-01-03,23378.0
2022-01-04,23314.0
2022-01-05,23010.0
2022-01-06,23280.0
2022-01-10,23508.0
2022-01-11,23734.0
2022-01-12,24040.0
2022-01-13,22836.0
2022-01-14,22648.0
2022-01-17,21820.0
2022-01-18,20694.0
2022-01-19,22024.0
2022-01-20,22300.0
2022-01-21,22100.0
2022-01-24,21250.0
2022-01-25,21466.0
2022-01-26,21788.0
2022-01-27,22066.0
2022-01-28,22082.0
2022-01-31,21916.0
2022-02-01,21948.0
2022-02-02,21670.0
2022-02-03,21392.0
2022-02-04,21400.0
2022-02-07,21580.0
2022-02-08,22372.0
2022-02-09,22674.0
2022-02-10,22454.0
2022-02-11,21688.0
2022-02-14,22082.0
2022-02-15,22324.0
2022-02-16,22304.0
2022-02-17,21774.0
2022-02-18,21450.0
2022-02-21,19252.0
2022-02-22,21150.0
2022-02-24,18200.0
2022-02-25,19052.0
2022-03-24,20990.0
2022-03-25,21070.0
2022-03-28,20850.0
2022-03-29,20028.0
2022-03-30,20462.0
2022-03-31,20974.0
2022-04-01,21500.0
2022-04-04,21750.0
2022-04-05,20986.0
2022-04-06,21150.0
2022-04-07,21050.0
2022-04-08,21112.0
2022-04-11,21006.0
2022-04-12,20990.0
2022-04-13,20794.0
2022-04-14,20004.0
2022-04-15,20240.0
2022-04-18,19886.0
2022-04-19,19676.0
2022-04-20,20590.0
2022-04-21,20454.0
2022-04-22,19700.0
2022-04-25,19900.0
2022-04-26,20994.0
2022-04-27,21272.0
2022-04-28,21000.0
2022-04-29,21550.0
2022-05-04,21352.0
2022-05-05,21544.0
2022-05-06,21766.0
2022-05-11,21330.0
2022-05-12,21238.0
2022-05-13,21200.0
2022-05-16,21364.0
2022-05-17,21348.0
2022-05-18,21416.0
2022-05-19,21300.0
2022-05-20,20700.0
2022-05-23,19800.0
2022-05-24,20010.0
2022-05-25,20080.0
2022-05-26,20198.0
2022-05-27,20162.0
2022-05-30,20132.0
2022-05-31,20190.0
2022-06-01,20416.0
2022-06-02,20154.0
2022-06-03,20314.0
2022-06-06,20294.0
2022-06-07,20200.0
2022-06-08,20134.0
2022-06-09,20310.0
2022-06-10,19490.0
2022-06-14,19102.0
2022-06-15,19040.0
2022-06-16,19370.0
2022-06-17,19194.0
2022-06-20,19180.0
2022-06-21,18820.0
2022-06-22,18940.0
2022-06-23,19100.0
2022-06-24,18934.0
2022-06-27,18586.0
2022-06-28,18252.0
2022-06-29,17652.0
2022-06-30,17400.0
2022-07-01,17100.0
2022-07-04,17024.0
2022-07-05,16700.0
2022-07-06,16452.0
2022-07-07,16550.0
2022-07-08,16720.0
2022-07-11,16270.0
2022-07-12,15922.0
2022-07-13,15200.0
2022-07-14,15302.0
2022-07-15,15600.0
2022-07-18,15282.0
2022-07-19,14914.0
2022-07-20,15050.0
2022-07-21,14800.0
2022-07-22,14730.0
2022-07-25,14794.0
2022-07-26,15850.0
2022-07-27,15640.0
2022-07-28,15500.0
2022-07-29,16150.0
2022-08-01,15590.0
2022-08-02,15140.0
2022-08-03,14754.0
2022-08-04,14710.0
2022-08-05,14394.0
2022-08-08,14458.0
2022-08-09,15150.0
2022-08-10,14970.0
2022-08-11,14908.0
2022-08-12,14826.0
2022-08-15,15142.0
2022-08-16,15444.0
2022-08-17,15370.0
2022-08-18,15160.0
2022-08-19,15330.0
2022-08-22,15430.0
2022-08-23,15592.0
2022-08-24,15458.0
2022-08-25,15384.0
2022-08-26,15392.0
2022-08-29,15594.0
2022-08-30,15650.0
2022-08-31,16140.0
2022-09-01,16600.0
2022-09-02,16746.0
2022-09-05,17000.0
2022-09-06,16604.0
2022-09-07,16222.0
2022-09-08,16244.0
2022-09-09,16740.0
2022-09-12,16756.0
2022-09-13,16432.0
2022-09-14,16214.0
2022-09-15,16212.0
2022-09-16,16228.0
2022-09-19,16016.0
2022-09-20,15260.0
2022-09-21,14776.0
2022-09-22,14794.0
2022-09-23,14148.0
2022-09-26,12850.0
2022-09-27,13278.0
2022-09-28,12930.0
2022-09-29,12338.0
2022-09-30,12458.0
2022-10-03,13186.0
2022-10-04,12956.0
2022-10-05,12516.0
2022-10-06,12400.0
2022-10-07,11932.0
2022-10-10,12500.0
2022-10-11,12794.0
2022-10-12,12698.0
2022-10-13,12616.0
2022-10-14,12640.0
2022-10-17,13246.0
2022-10-18,13222.0
2022-10-19,13018.0
2022-10-20,13084.0
2022-10-21,13160.0
2022-10-24,13152.0
2022-10-25,13470.0
2022-10-26,13136.0
2022-10-27,13266.0
2022-10-28,13548.0
2022-10-31,13758.0
2022-11-01,13624.0
2022-11-02,13404.0
2022-11-03,13406.0
2022-11-07,14070.0
2022-11-08,13968.0
2022-11-09,13720.0
2022-11-10,14044.0
2022-11-11,14764.0
2022-11-14,15456.0
2022-11-15,14984.0
2022-11-16,15224.0
2022-11-17,14946.0
2022-11-18,14986.0
2022-11-21,14654.0
2022-11-22,14802.0
2022-11-23,14752.0
2022-11-24,14766.0
