Date,LKOH
2022-01-03,6683.0
2022-01-04,6728.0
2022-01-05,6522.0
2022-01-06,6699.0
2022-01-10,6775.0
2022-01-11,6816.0
2022-01-12,6960.0
2022-01-13,6665.0
2022-01-14,6659.0
2022-01-17,6516.0
2022-01-18,6250.0
2022-01-19,6494.0
2022-01-20,6430.0
2022-01-21,6420.0
2022-01-24,6293.0
2022-01-25,6543.0
2022-01-26,6525.5
2022-01-27,6811.5
2022-01-28,6775.0
2022-01-31,6878.0
2022-02-01,6976.0
2022-02-02,7040.0
2022-02-03,6865.5
2022-02-04,7010.0
2022-02-07,6988.0
2022-02-08,6957.5
2022-02-09,6973.5
2022-02-10,6984.5
2022-02-11,6707.5
2022-02-14,6796.0
2022-02-15,6979.0
2022-02-16,6970.0
2022-02-17,6733.0
2022-02-18,6456.5
2022-02-21,5810.0
2022-02-22,6020.0
2022-02-24,4650.0
2022-02-25,4915.0
2022-03-24,5525.0
2022-03-25,5206.0
2022-03-28,5118.0
2022-03-29,4922.0
2022-03-30,5140.0
2022-03-31,5680.0
2022-04-01,5601.0
2022-04-04,5557.0
2022-04-05,5314.0
2022-04-06,5266.0
2022-04-07,5280.0
2022-04-08,5226.5
2022-04-11,5190.0
2022-04-12,5145.0
2022-04-13,5106.0
2022-04-14,4879.5
2022-04-15,4893.0
2022-04-18,4549.0
2022-04-19,4485.0
2022-04-20,4310.0
2022-04-21,3974.0
2022-04-22,3828.0
2022-04-25,3931.0
2022-04-26,4292.0
2022-04-27,4550.0
2022-04-28,4381.0
2022-04-29,4699.5
2022-05-04,4552.0
2022-05-05,4675.0
2022-05-06,4635.5
2022-05-11,4600.0
2022-05-12,4362.5
2022-05-13,4380.0
2022-05-16,4523.5
2022-05-17,4500.0
2022-05-18,4483.5
2022-05-19,4415.5
2022-05-20,4279.0
2022-05-23,4050.0
2022-05-24,3942.0
2022-05-25,4148.0
2022-05-26,4263.0
2022-05-27,4290.0
2022-05-30,4220.0
2022-05-31,4061.5
2022-06-01,4074.0
2022-06-02,4035.0
2022-06-03,3980.5
2022-06-06,3940.0
2022-06-07,3959.5
2022-06-08,3945.5
2022-06-09,3876.0
2022-06-10,3898.0
2022-06-14,3891.5
2022-06-15,4115.0
2022-06-16,4261.5
2022-06-17,4182.0
2022-06-20,4209.5
2022-06-21,4045.0
2022-06-22,4139.0
2022-06-23,4150.0
2022-06-24,4100.0
2022-06-27,4100.0
2022-06-28,3989.5
2022-06-29,4015.0
2022-06-30,3905.0
2022-07-01,3944.0
2022-07-04,3949.5
2022-07-05,4015.0
2022-07-06,3962.0
2022-07-07,3956.0
2022-07-08,3911.0
2022-07-11,3848.5
2022-07-12,3752.0
2022-07-13,3645.5
2022-07-14,3608.0
2022-07-15,3709.0
2022-07-18,3645.0
2022-07-19,3600.0
2022-07-20,3580.0
2022-07-21,3539.5
2022-07-22,3688.0
2022-07-25,3669.0
2022-07-26,3825.0
2022-07-27,3847.5
2022-07-28,3831.0
2022-07-29,3877.0
2022-08-01,3931.0
2022-08-02,3823.0
2022-08-03,3799.0
2022-08-04,3720.0
2022-08-05,3679.5
2022-08-08,3720.0
2022-08-09,3895.0
2022-08-10,3890.0
2022-08-11,3925.0
2022-08-12,3940.5
2022-08-15,3959.0
2022-08-16,4018.0
2022-08-17,3907.0
2022-08-18,3920.0
2022-08-19,3972.0
2022-08-22,4017.0
2022-08-23,4098.0
2022-08-24,4117.0
2022-08-25,4055.0
2022-08-26,4115.0
2022-08-29,4186.0
2022-08-30,4140.0
2022-08-31,4270.0
2022-09-01,4722.0
2022-09-02,4595.0
2022-09-05,4658.0
2022-09-06,4545.0
2022-09-07,4420.0
2022-09-08,4410.0
2022-09-09,4470.0
2022-09-12,4560.0
2022-09-13,4542.5
2022-09-14,4472.0
2022-09-15,4530.0
2022-09-16,4519.0
2022-09-19,4496.0
2022-09-20,4055.0
2022-09-21,3955.0
2022-09-22,4011.0
2022-09-23,3948.5
2022-09-26,3708.0
2022-09-27,3865.0
2022-09-28,3907.5
2022-09-29,3882.5
2022-09-30,3965.0
2022-10-03,4077.0
2022-10-04,4094.0
2022-10-05,4102.5
2022-10-06,4041.0
2022-10-07,3875.0
2022-10-10,4035.0
2022-10-11,4170.0
2022-10-12,4149.0
2022-10-13,4185.5
2022-10-14,4139.0
2022-10-17,4212.5
2022-10-18,4240.0
2022-10-19,4204.5
2022-10-20,4380.5
2022-10-21,4433.0
2022-10-24,4439.5
2022-10-25,4569.5
2022-10-26,4613.5
2022-10-27,4724.0
2022-10-28,4700.5
2022-10-31,4695.5
2022-11-01,4700.0
2022-11-02,4670.0
2022-11-03,4687.0
2022-11-07,4723.5
2022-11-08,4697.5
2022-11-09,4632.0
2022-11-10,4681.0
2022-11-11,4670.0
2022-11-14,4658.5
2022-11-15,4565.0
2022-11-16,4661.5
2022-11-17,4621.0
2022-11-18,4623.0
2022-11-21,4605.5
2022-11-22,4618.0
2022-11-23,4679.0
2022-11-24,4664.0
2022-11-25,4669.0
2022-11-28,4624.0
