Date,MDMG
2022-01-03,825.0
2022-01-04,827.1
2022-01-05,820.0
2022-01-06,812.0
2022-01-10,808.2
2022-01-11,823.0
2022-01-12,838.2
2022-01-13,807.0
2022-01-14,793.5
2022-01-17,789.9
2022-01-18,728.1
2022-01-19,770.0
2022-01-20,782.5
2022-01-21,755.3
2022-01-24,715.5
2022-01-25,732.0
2022-01-26,764.4
2022-01-27,767.3
2022-01-28,772.8
2022-01-31,775.5
2022-02-01,765.6
2022-02-02,750.5
2022-02-03,735.5
2022-02-04,747.2
2022-02-07,762.0
2022-02-08,759.0
2022-02-09,759.9
2022-02-10,753.3
2022-02-11,735.0
2022-02-14,745.0
2022-02-15,751.0
2022-02-16,751.7
2022-02-17,733.3
2022-02-18,724.2
2022-02-21,656.0
2022-02-22,689.8
2022-02-24,549.0
2022-02-25,550.0
2022-03-30,630.2
2022-03-31,657.2
2022-04-01,650.0
2022-04-04,653.6
2022-04-05,616.9
2022-04-06,590.2
2022-04-07,572.9
2022-04-08,570.0
2022-04-11,553.7
2022-04-12,547.3
2022-04-13,538.0
2022-04-14,514.9
2022-04-15,504.0
2022-04-18,509.0
2022-04-19,481.1
2022-04-20,471.0
2022-04-21,492.0
2022-04-22,480.0
2022-04-25,485.9
2022-04-26,464.5
2022-04-27,476.5
2022-04-28,483.8
2022-04-29,476.8
2022-05-04,461.7
2022-05-05,456.6
2022-05-06,447.1
2022-05-11,480.2
2022-05-12,464.8
2022-05-13,465.6
2022-05-16,470.1
2022-05-17,470.0
2022-05-18,464.7
2022-05-19,452.9
2022-05-20,447.8
2022-05-23,431.4
2022-05-24,421.0
2022-05-25,418.3
2022-05-26,425.9
2022-05-27,427.9
2022-05-30,420.9
2022-05-31,404.0
2022-06-01,399.9
2022-06-02,398.3
2022-06-03,367.0
2022-06-06,343.0
2022-06-07,341.0
2022-06-08,355.2
2022-06-09,334.2
2022-06-10,330.1
2022-06-14,322.0
2022-06-15,326.7
2022-06-16,363.0
2022-06-17,364.8
2022-06-20,386.9
2022-06-21,375.2
2022-06-22,362.0
2022-06-23,368.4
2022-06-24,368.8
2022-06-27,388.2
2022-06-28,404.9
2022-06-29,389.0
2022-06-30,392.7
2022-07-01,395.0
2022-07-04,403.0
2022-07-05,426.9
2022-07-06,426.1
2022-07-07,440.0
2022-07-08,442.9
2022-07-11,423.0
2022-07-12,413.8
2022-07-13,389.2
2022-07-14,382.0
2022-07-15,394.2
2022-07-18,411.0
2022-07-19,400.0
2022-07-20,393.5
2022-07-21,392.7
