Date,MGNT
2022-01-03,5509.5
2022-01-04,5565.0
2022-01-05,5399.0
2022-01-06,5535.0
2022-01-10,5473.0
2022-01-11,5505.5
2022-01-12,5623.0
2022-01-13,5330.0
2022-01-14,5235.5
2022-01-17,5185.5
2022-01-18,4973.0
2022-01-19,5040.0
2022-01-20,4991.0
2022-01-21,5046.5
2022-01-24,4823.5
2022-01-25,4895.0
2022-01-26,4768.5
2022-01-27,4883.5
2022-01-28,4904.0
2022-01-31,5079.0
2022-02-01,5114.0
2022-02-02,5200.0
2022-02-03,5187.0
2022-02-04,5285.0
2022-02-07,5210.0
2022-02-08,5182.0
2022-02-09,5254.0
2022-02-10,5227.5
2022-02-11,4971.5
2022-02-14,4956.5
2022-02-15,5239.0
2022-02-16,5395.0
2022-02-17,5224.5
2022-02-18,5041.5
2022-02-21,4240.0
2022-02-22,4600.0
2022-02-24,3312.0
2022-02-25,3202.0
2022-03-24,3457.5
2022-03-25,3338.0
2022-03-28,3337.5
2022-03-29,3405.5
2022-03-30,3855.0
2022-03-31,4155.0
2022-04-01,4220.0
2022-04-04,4273.5
2022-04-05,4098.0
2022-04-06,4120.0
2022-04-07,4247.0
2022-04-08,4335.0
2022-04-11,4310.0
2022-04-12,4297.5
2022-04-13,4256.5
2022-04-14,4017.0
2022-04-15,4070.5
2022-04-18,4000.0
2022-04-19,4038.0
2022-04-20,4300.0
2022-04-21,4197.5
2022-04-22,4170.0
2022-04-25,4299.5
2022-04-26,4460.0
2022-04-27,4720.0
2022-04-28,4566.5
2022-04-29,4592.5
2022-05-04,4651.0
2022-05-05,4741.0
2022-05-06,4750.0
2022-05-11,4805.0
2022-05-12,4720.0
2022-05-13,4637.0
2022-05-16,4790.5
2022-05-17,4828.5
2022-05-18,4890.0
2022-05-19,4885.0
2022-05-20,4620.0
2022-05-23,4475.5
2022-05-24,4350.0
2022-05-25,4576.0
2022-05-26,4610.0
2022-05-27,4520.0
2022-05-30,4622.0
2022-05-31,4640.0
2022-06-01,4586.5
2022-06-02,4448.0
2022-06-03,4382.0
2022-06-06,4223.5
2022-06-07,4420.0
2022-06-08,4338.0
2022-06-09,4300.0
2022-06-10,4241.0
2022-06-14,4200.0
