Date,MRKP
2022-01-03,0.2374
2022-01-04,0.244
2022-01-05,0.2415
2022-01-06,0.2402
2022-01-10,0.2423
2022-01-11,0.2421
2022-01-12,0.2473
2022-01-13,0.2414
2022-01-14,0.2388
2022-01-17,0.2341
2022-01-18,0.23
2022-01-19,0.2304
2022-01-20,0.2317
2022-01-21,0.2265
2022-01-24,0.2141
2022-01-25,0.2107
2022-01-26,0.221
2022-01-27,0.219
2022-01-28,0.2205
2022-01-31,0.2241
2022-02-01,0.2211
2022-02-02,0.2205
2022-02-03,0.2183
2022-02-04,0.2186
2022-02-07,0.219
2022-02-08,0.2221
2022-02-09,0.2299
2022-02-10,0.2278
2022-02-11,0.223
2022-02-14,0.218
2022-02-15,0.2239
2022-02-16,0.2255
2022-02-17,0.2225
2022-02-18,0.215
2022-02-21,0.19
2022-02-22,0.1922
2022-02-24,0.1342
2022-02-25,0.159
2022-03-28,0.1307
2022-03-29,0.1341
2022-03-30,0.1431
2022-03-31,0.1549
2022-04-01,0.1617
2022-04-04,0.1677
2022-04-05,0.1655
2022-04-06,0.169
2022-04-07,0.1675
2022-04-08,0.1658
2022-04-11,0.1632
2022-04-12,0.156
2022-04-13,0.1603
2022-04-14,0.1548
2022-04-15,0.1587
2022-04-18,0.158
2022-04-19,0.1558
2022-04-20,0.1556
2022-04-21,0.1553
2022-04-22,0.1531
2022-04-25,0.1531
2022-04-26,0.158
2022-04-27,0.1615
2022-04-28,0.1587
2022-04-29,0.16
2022-05-04,0.1703
2022-05-05,0.1753
2022-05-06,0.1809
2022-05-11,0.1914
2022-05-12,0.1812
2022-05-13,0.187
2022-05-16,0.199
2022-05-17,0.2012
2022-05-18,0.1976
2022-05-19,0.2049
2022-05-20,0.1994
2022-05-23,0.199
2022-05-24,0.1991
2022-05-25,0.2049
2022-05-26,0.2049
2022-05-27,0.2041
2022-05-30,0.2092
2022-05-31,0.2095
2022-06-01,0.2111
2022-06-02,0.2106
2022-06-03,0.2121
2022-06-06,0.2119
2022-06-07,0.2109
2022-06-08,0.2102
2022-06-09,0.2096
2022-06-10,0.2074
2022-06-14,0.208
2022-06-15,0.2155
2022-06-16,0.2215
2022-06-17,0.2274
2022-06-20,0.2335
2022-06-21,0.2299
2022-06-22,0.2259
2022-06-23,0.2221
2022-06-24,0.191
2022-06-27,0.1852
2022-06-28,0.1813
2022-06-29,0.1788
2022-06-30,0.1716
2022-07-01,0.1716
2022-07-04,0.1711
2022-07-05,0.1737
2022-07-06,0.1784
2022-07-07,0.1784
2022-07-08,0.1801
2022-07-11,0.1796
2022-07-12,0.1772
2022-07-13,0.1786
2022-07-14,0.1767
2022-07-15,0.1766
2022-07-18,0.1666
2022-07-19,0.1614
2022-07-20,0.1628
2022-07-21,0.1603
2022-07-22,0.162
2022-07-25,0.1672
2022-07-26,0.1689
2022-07-27,0.17
2022-07-28,0.1695
2022-07-29,0.1698
2022-08-01,0.1681
2022-08-02,0.1645
2022-08-03,0.1646
2022-08-04,0.1639
2022-08-05,0.159
2022-08-08,0.1614
2022-08-09,0.1607
2022-08-10,0.1686
2022-08-11,0.1678
2022-08-12,0.1667
2022-08-15,0.168
2022-08-16,0.1725
2022-08-17,0.1705
2022-08-18,0.1706
2022-08-19,0.1698
2022-08-22,0.1702
2022-08-23,0.1713
2022-08-24,0.1694
2022-08-25,0.1705
2022-08-26,0.1698
2022-08-29,0.1705
2022-08-30,0.1717
2022-08-31,0.1703
2022-09-01,0.1696
2022-09-02,0.1715
2022-09-05,0.177
2022-09-06,0.1757
2022-09-07,0.1744
2022-09-08,0.1743
2022-09-09,0.1735
2022-09-12,0.1744
2022-09-13,0.1758
2022-09-14,0.1756
2022-09-15,0.1749
2022-09-16,0.1756
2022-09-19,0.1741
2022-09-20,0.1614
2022-09-21,0.1592
2022-09-22,0.1637
2022-09-23,0.1565
2022-09-26,0.1481
2022-09-27,0.147
2022-09-28,0.1457
2022-09-29,0.1428
2022-09-30,0.1421
2022-10-03,0.1464
2022-10-04,0.1478
2022-10-05,0.145
2022-10-06,0.1456
2022-10-07,0.142
2022-10-10,0.1462
2022-10-11,0.1501
2022-10-12,0.1565
2022-10-13,0.1556
2022-10-14,0.157
2022-10-17,0.1623
2022-10-18,0.1629
2022-10-19,0.1618
2022-10-20,0.1627
2022-10-21,0.1643
2022-10-24,0.1647
2022-10-25,0.1669
2022-10-26,0.1688
2022-10-27,0.1804
2022-10-28,0.1818
2022-10-31,0.1842
2022-11-01,0.189
2022-11-02,0.185
2022-11-03,0.1845
2022-11-07,0.1887
2022-11-08,0.1869
2022-11-09,0.1849
2022-11-10,0.1831
2022-11-11,0.1873
2022-11-14,0.19
2022-11-15,0.193
2022-11-16,0.1925
2022-11-17,0.1922
2022-11-18,0.1929
2022-11-21,0.189
2022-11-22,0.1892
2022-11-23,0.1905
2022-11-24,0.2
2022-11-25,0.2136
2022-11-28,0.2156
2022-11-29,0.2159
2022-11-30,0.2179
2022-12-01,0.2175
2022-12-02,0.2175
2022-12-05,0.2181
2022-12-06,0.2202
2022-12-07,0.2183
2022-12-08,0.2183
2022-12-09,0.2192
2022-12-12,0.2187
2022-12-13,0.2179
2022-12-14,0.2177
2022-12-15,0.2168
2022-12-16,0.2176
2022-12-19,0.218
2022-12-20,0.2178
2022-12-21,0.2187
2022-12-22,0.2194
2022-12-23,0.2237
2022-12-26,0.2259
2022-12-27,0.2323
2022-12-28,0.2315
2022-12-29,0.2453
2022-12-30,0.2477
2023-01-03,0.2471
2023-01-04,0.2413
2023-01-05,0.2133
2023-01-06,0.2035
2023-01-09,0.2009
2023-01-10,0.2005
2023-01-11,0.2111
2023-01-12,0.2108
2023-01-13,0.2096
2023-01-16,0.2115
2023-01-17,0.2111
2023-01-18,0.2107
2023-01-19,0.2118
2023-01-20,0.2144
2023-01-23,0.217
2023-01-24,0.2157
2023-01-25,0.2137
2023-01-26,0.2107
2023-01-27,0.2085
2023-01-30,0.2087
2023-01-31,0.2094
2023-02-01,0.2083
2023-02-02,0.2067
2023-02-03,0.2049
2023-02-06,0.2071
2023-02-07,0.2064
2023-02-08,0.2069
2023-02-09,0.2054
2023-02-10,0.2061
2023-02-13,0.2108
2023-02-14,0.2095
2023-02-15,0.2011
2023-02-16,0.2013
2023-02-17,0.2004
2023-02-20,0.199
2023-02-21,0.2002
2023-02-22,0.2001
2023-02-24,0.2001
2023-02-27,0.2069
2023-02-28,0.2069
2023-03-01,0.2057
2023-03-02,0.2032
2023-03-03,0.204
2023-03-06,0.2082
2023-03-07,0.2082
2023-03-09,0.2087
2023-03-10,0.2062
2023-03-13,0.2053
2023-03-14,0.205
2023-03-15,0.2044
2023-03-16,0.2048
2023-03-17,0.2043
2023-03-20,0.2051
2023-03-21,0.2047
2023-03-22,0.2073
2023-03-23,0.2083
2023-03-24,0.2079
2023-03-27,0.2094
2023-03-28,0.2089
2023-03-29,0.2084
2023-03-30,0.2087
2023-03-31,0.2072
2023-04-03,0.2088
2023-04-04,0.2113
2023-04-05,0.2116
2023-04-06,0.2131
2023-04-07,0.2156
2023-04-10,0.2244
2023-04-11,0.2233
2023-04-12,0.2252
2023-04-13,0.2215
2023-04-14,0.2226
2023-04-17,0.2228
2023-04-18,0.2216
2023-04-19,0.223
2023-04-20,0.2221
2023-04-21,0.2212
2023-04-24,0.2231
2023-04-25,0.2315
2023-04-26,0.2384
2023-04-27,0.2358
2023-04-28,0.2325
2023-05-02,0.2265
2023-05-03,0.233
2023-05-04,0.219
2023-05-05,0.2129
2023-05-08,0.212
2023-05-10,0.2152
2023-05-11,0.2143
2023-05-12,0.2107
2023-05-15,0.2153
2023-05-16,0.2165
2023-05-17,0.2164
2023-05-18,0.2152
2023-05-19,0.2141
2023-05-22,0.2132
2023-05-23,0.2127
2023-05-24,0.2152
2023-05-25,0.2185
2023-05-26,0.2212
2023-05-29,0.223
2023-05-30,0.2212
2023-05-31,0.222
2023-06-01,0.2275
2023-06-02,0.2347
2023-06-05,0.2325
2023-06-06,0.2306
2023-06-07,0.2353
2023-06-08,0.2344
2023-06-09,0.236
2023-06-13,0.2363
2023-06-14,0.2381
2023-06-15,0.2408
2023-06-16,0.2438
2023-06-19,0.2416
2023-06-20,0.241
