Date,PLZL
2022-01-03,12964.5
2022-01-04,12996.0
2022-01-05,12551.5
2022-01-06,12315.0
2022-01-10,12251.5
2022-01-11,12381.0
2022-01-12,12386.0
2022-01-13,12233.0
2022-01-14,11929.0
2022-01-17,11607.0
2022-01-18,11439.0
2022-01-19,11949.5
2022-01-20,11930.0
2022-01-21,12310.0
2022-01-24,12274.0
2022-01-25,12109.0
2022-01-26,11900.0
2022-01-27,11797.5
2022-01-28,11809.5
2022-01-31,12230.0
2022-02-01,12211.5
2022-02-02,12320.0
2022-02-03,12210.0
2022-02-04,12118.5
2022-02-07,12076.0
2022-02-08,12050.0
2022-02-09,12216.5
2022-02-10,12302.0
2022-02-11,12284.5
2022-02-14,12799.0
2022-02-15,12590.5
2022-02-16,12910.5
2022-02-17,13340.5
2022-02-18,12894.0
2022-02-21,12320.0
2022-02-22,13014.0
2022-02-24,9810.0
2022-02-25,10633.0
2022-03-24,12300.0
2022-03-25,12200.0
2022-03-28,11985.0
2022-03-29,10982.5
2022-03-30,12074.0
2022-03-31,12727.0
2022-04-01,12500.0
2022-04-04,12950.5
2022-04-05,13512.0
2022-04-06,13450.0
2022-04-07,13975.0
2022-04-08,13636.0
2022-04-11,14375.5
2022-04-12,14392.5
2022-04-13,14051.0
2022-04-14,13365.0
2022-04-15,13900.0
2022-04-18,13700.0
2022-04-19,13650.0
2022-04-20,13848.0
2022-04-21,13642.0
2022-04-22,13400.0
2022-04-25,12789.0
2022-04-26,13005.0
2022-04-27,13130.0
2022-04-28,13262.0
2022-04-29,13630.0
2022-05-04,13498.0
2022-05-05,13615.0
2022-05-06,13485.0
2022-05-11,13100.0
2022-05-12,12757.0
2022-05-13,12270.0
2022-05-16,12335.0
2022-05-17,12380.0
2022-05-18,12351.0
2022-05-19,12350.0
2022-05-20,12000.0
2022-05-23,11624.5
2022-05-24,11461.0
2022-05-25,11650.0
2022-05-26,11666.0
2022-05-27,11440.0
2022-05-30,11800.0
2022-05-31,11624.0
2022-06-01,11567.0
2022-06-02,11400.0
2022-06-03,11145.0
2022-06-06,11090.0
2022-06-07,10849.0
2022-06-08,10799.5
2022-06-09,10680.0
2022-06-10,10192.0
2022-06-14,10300.0
2022-06-15,10152.0
2022-06-16,10245.0
2022-06-17,10350.5
2022-06-20,10228.0
2022-06-21,9777.0
2022-06-22,9609.5
2022-06-23,9288.0
2022-06-24,9431.5
2022-06-27,9220.0
2022-06-28,9101.0
2022-06-29,9225.0
2022-06-30,8850.0
2022-07-01,8464.0
2022-07-04,7997.5
2022-07-05,8100.0
2022-07-06,8020.0
2022-07-07,8225.0
2022-07-08,8376.0
2022-07-11,8484.0
2022-07-12,8320.0
2022-07-13,8171.0
2022-07-14,8182.0
2022-07-15,8375.0
2022-07-18,8271.5
2022-07-19,8260.0
2022-07-20,8179.5
2022-07-21,7933.5
2022-07-22,7717.0
2022-07-25,7676.5
2022-07-26,7998.5
2022-07-27,8155.5
2022-07-28,8242.5
2022-07-29,8644.0
2022-08-01,8527.0
