Date,POSI
2022-01-03,849.4
2022-01-04,844.0
2022-01-05,838.0
2022-01-06,830.0
2022-01-10,784.0
2022-01-11,779.6
2022-01-12,800.0
2022-01-13,775.4
2022-01-14,788.8
2022-01-17,781.8
2022-01-18,743.0
2022-01-19,754.8
2022-01-20,757.0
2022-01-21,731.4
2022-01-24,643.0
2022-01-25,616.0
2022-01-26,618.0
2022-01-27,700.0
2022-01-28,728.0
2022-01-31,714.0
2022-02-01,700.2
2022-02-02,684.6
2022-02-03,667.8
2022-02-04,684.6
2022-02-07,688.2
2022-02-08,698.8
2022-02-09,706.0
2022-02-10,700.0
2022-02-11,689.8
2022-02-14,685.6
2022-02-15,700.0
2022-02-16,709.8
2022-02-17,688.8
2022-02-18,680.0
2022-02-21,619.2
2022-02-22,620.0
2022-02-24,477.4
2022-02-25,560.4
2022-03-28,783.6
2022-03-29,1095.8
2022-03-30,970.6
2022-03-31,996.0
2022-04-01,1002.2
2022-04-04,1175.0
2022-04-05,1187.0
2022-04-06,1104.0
2022-04-07,1063.2
2022-04-08,1056.6
2022-04-11,1025.0
2022-04-12,955.0
2022-04-13,995.0
2022-04-14,958.0
2022-04-15,944.0
2022-04-18,947.4
2022-04-19,925.2
2022-04-20,910.0
2022-04-21,858.4
2022-04-22,898.8
2022-04-25,860.0
2022-04-26,881.8
2022-04-27,917.0
2022-04-28,912.6
2022-04-29,917.0
2022-05-04,926.0
2022-05-05,935.8
2022-05-06,926.0
2022-05-11,950.0
2022-05-12,965.6
2022-05-13,949.0
2022-05-16,960.0
2022-05-17,963.6
2022-05-18,955.0
2022-05-19,951.0
2022-05-20,920.0
2022-05-23,912.2
2022-05-24,908.0
2022-05-25,913.0
2022-05-26,904.0
2022-05-27,905.6
2022-05-30,900.6
2022-05-31,888.0
2022-06-01,890.4
2022-06-02,882.2
2022-06-03,879.8
2022-06-06,860.0
2022-06-07,850.0
2022-06-08,861.8
2022-06-09,859.0
2022-06-10,847.0
2022-06-14,848.6
2022-06-15,849.6
2022-06-16,846.0
2022-06-17,844.4
2022-06-20,855.0
2022-06-21,876.0
2022-06-22,871.4
2022-06-23,894.8
2022-06-24,914.0
2022-06-27,891.6
2022-06-28,899.2
2022-06-29,883.0
2022-06-30,868.0
2022-07-01,890.0
2022-07-04,868.4
2022-07-05,877.0
2022-07-06,865.0
2022-07-07,864.0
2022-07-08,869.6
2022-07-11,862.2
2022-07-12,850.0
2022-07-13,863.6
2022-07-14,860.0
2022-07-15,870.0
2022-07-18,863.8
2022-07-19,870.0
2022-07-20,886.8
2022-07-21,895.0
2022-07-22,886.4
2022-07-25,888.8
2022-07-26,910.0
2022-07-27,934.8
2022-07-28,968.2
2022-07-29,990.0
2022-08-01,988.0
2022-08-02,1040.6
2022-08-03,1057.0
2022-08-04,1030.0
2022-08-05,1009.6
2022-08-08,1040.2
2022-08-09,1058.0
2022-08-10,1161.8
2022-08-11,1170.0
2022-08-12,1197.0
2022-08-15,1129.0
2022-08-16,1151.6
2022-08-17,1169.8
2022-08-18,1159.4
2022-08-19,1144.0
2022-08-22,1142.0
2022-08-23,1156.8
2022-08-24,1150.0
2022-08-25,1152.0
2022-08-26,1152.0
2022-08-29,1158.4
2022-08-30,1150.0
2022-08-31,1165.0
2022-09-01,1220.0
2022-09-02,1220.0
2022-09-05,1273.0
2022-09-06,1295.6
2022-09-07,1347.0
2022-09-08,1328.0
2022-09-09,1325.0
2022-09-12,1323.2
2022-09-13,1290.2
2022-09-14,1278.0
2022-09-15,1315.0
2022-09-16,1296.0
2022-09-19,1293.0
2022-09-20,1208.8
2022-09-21,1195.2
2022-09-22,1179.4
2022-09-23,1104.8
2022-09-26,1023.8
2022-09-27,1061.8
2022-09-28,1051.0
2022-09-29,1028.0
2022-09-30,1012.0
2022-10-03,1081.4
2022-10-04,1065.8
2022-10-05,1052.8
2022-10-06,1060.0
2022-10-07,1029.0
2022-10-10,1036.6
2022-10-11,1066.4
2022-10-12,1064.4
2022-10-13,1052.2
2022-10-14,1049.0
2022-10-17,1094.2
2022-10-18,1121.4
2022-10-19,1084.2
2022-10-20,1090.0
2022-10-21,1107.2
2022-10-24,1132.0
2022-10-25,1170.0
2022-10-26,1191.6
2022-10-27,1226.6
2022-10-28,1230.4
2022-10-31,1275.0
2022-11-01,1293.0
2022-11-02,1265.0
2022-11-03,1240.0
2022-11-07,1266.2
2022-11-08,1267.0
2022-11-09,1248.4
2022-11-10,1263.0
2022-11-11,1245.6
2022-11-14,1258.8
2022-11-15,1249.8
2022-11-16,1253.6
2022-11-17,1273.2
2022-11-18,1272.8
2022-11-21,1290.0
2022-11-22,1317.6
2022-11-23,1308.2
2022-11-24,1302.2
2022-11-25,1280.4
2022-11-28,1290.2
2022-11-29,1311.8
2022-11-30,1308.2
2022-12-01,1307.0
2022-12-02,1299.8
2022-12-05,1298.6
2022-12-06,1294.6
2022-12-07,1290.8
2022-12-08,1280.8
2022-12-09,1281.0
2022-12-12,1265.0
2022-12-13,1246.2
2022-12-14,1243.0
2022-12-15,1220.2
2022-12-16,1224.2
2022-12-19,1199.4
2022-12-20,1245.0
2022-12-21,1228.4
2022-12-22,1240.0
2022-12-23,1243.8
2022-12-26,1240.4
2022-12-27,1241.0
2022-12-28,1238.0
2022-12-29,1253.4
2022-12-30,1259.4
2023-01-03,1288.6
2023-01-04,1288.4
2023-01-05,1276.6
2023-01-06,1259.6
2023-01-09,1286.8
2023-01-10,1281.4
2023-01-11,1309.8
2023-01-12,1348.2
2023-01-13,1347.2
2023-01-16,1375.0
2023-01-17,1337.2
2023-01-18,1360.6
2023-01-19,1350.8
2023-01-20,1350.8
2023-01-23,1374.4
2023-01-24,1397.0
2023-01-25,1450.0
2023-01-26,1493.0
2023-01-27,1473.0
2023-01-30,1563.6
2023-01-31,1610.0
2023-02-01,1595.6
2023-02-02,1593.6
2023-02-03,1579.0
2023-02-06,1605.0
2023-02-07,1602.6
2023-02-08,1581.2
2023-02-09,1564.2
2023-02-10,1545.0
2023-02-13,1563.8
2023-02-14,1541.6
2023-02-15,1463.4
2023-02-16,1514.2
2023-02-17,1514.2
2023-02-20,1509.0
2023-02-21,1594.8
2023-02-22,1585.2
2023-02-24,1592.6
2023-02-27,1605.4
2023-02-28,1623.2
2023-03-01,1639.2
2023-03-02,1613.4
2023-03-03,1628.6
2023-03-06,1680.6
2023-03-07,1672.0
2023-03-09,1682.4
2023-03-10,1678.8
2023-03-13,1711.0
2023-03-14,1728.2
2023-03-15,1697.0
2023-03-16,1682.6
2023-03-17,1671.2
