Date,RENI
2022-01-03,98.81
2022-01-04,98.0
2022-01-05,96.95
2022-01-06,94.03
2022-01-10,93.01
2022-01-11,94.0
2022-01-12,93.0
2022-01-13,91.2
2022-01-14,89.22
2022-01-17,82.75
2022-01-18,76.0
2022-01-19,73.53
2022-01-20,75.02
2022-01-21,70.5
2022-01-24,66.03
2022-01-25,65.38
2022-01-26,65.23
2022-01-27,67.95
2022-01-28,66.0
2022-01-31,69.5
2022-02-01,67.56
2022-02-02,67.68
2022-02-03,67.44
2022-02-04,67.23
2022-02-07,68.34
2022-02-08,67.62
2022-02-09,70.62
2022-02-10,68.0
2022-02-11,65.91
2022-02-14,64.0
2022-02-15,62.55
2022-02-16,62.2
2022-02-17,60.19
2022-02-18,60.0
2022-02-21,50.0
2022-02-22,50.01
2022-02-24,42.03
2022-02-25,43.81
2022-03-28,36.74
2022-03-29,37.31
2022-03-30,43.13
2022-03-31,54.37
2022-04-01,52.36
2022-04-04,50.74
2022-04-05,48.98
2022-04-06,46.62
2022-04-07,45.72
2022-04-08,45.23
2022-04-11,45.2
2022-04-12,44.71
2022-04-13,44.01
2022-04-14,43.07
2022-04-15,42.46
2022-04-18,41.06
2022-04-19,40.77
2022-04-20,41.0
2022-04-21,40.51
2022-04-22,40.33
2022-04-25,39.6
2022-04-26,40.26
2022-04-27,40.99
2022-04-28,41.0
2022-04-29,41.48
2022-05-04,39.82
2022-05-05,40.39
2022-05-06,40.34
2022-05-11,40.03
2022-05-12,39.18
2022-05-13,41.18
2022-05-16,40.66
2022-05-17,40.5
2022-05-18,40.34
2022-05-19,40.72
2022-05-20,39.0
2022-05-23,38.2
2022-05-24,40.3
2022-05-25,39.13
2022-05-26,39.26
2022-05-27,38.93
2022-05-30,38.9
2022-05-31,38.27
2022-06-01,39.11
2022-06-02,40.01
2022-06-03,41.55
2022-06-06,43.59
2022-06-07,43.97
2022-06-08,45.08
2022-06-09,44.08
2022-06-10,44.07
2022-06-14,44.1
2022-06-15,43.98
2022-06-16,43.81
2022-06-17,43.81
2022-06-20,44.15
2022-06-21,43.91
2022-06-22,44.08
2022-06-23,45.0
2022-06-24,44.6
2022-06-27,44.7
2022-06-28,44.2
2022-06-29,44.37
2022-06-30,44.0
2022-07-01,44.5
2022-07-04,43.95
2022-07-05,43.9
2022-07-06,45.87
2022-07-07,47.44
2022-07-08,47.25
2022-07-11,47.49
2022-07-12,45.58
2022-07-13,45.6
2022-07-14,44.45
2022-07-15,44.9
2022-07-18,44.24
2022-07-19,44.78
2022-07-20,44.9
2022-07-21,44.27
2022-07-22,44.35
2022-07-25,44.86
2022-07-26,44.4
2022-07-27,45.9
2022-07-28,46.5
2022-07-29,46.27
2022-08-01,45.2
2022-08-02,44.95
2022-08-03,45.19
2022-08-04,45.09
2022-08-05,45.1
2022-08-08,44.9
2022-08-09,44.95
2022-08-10,45.14
2022-08-11,45.89
2022-08-12,45.68
2022-08-15,45.71
2022-08-16,47.86
2022-08-17,52.1
2022-08-18,60.7
2022-08-19,55.0
2022-08-22,58.52
2022-08-23,57.0
2022-08-24,55.86
2022-08-25,54.92
2022-08-26,58.0
2022-08-29,60.0
2022-08-30,60.5
2022-08-31,60.0
2022-09-01,61.0
2022-09-02,61.0
2022-09-05,60.9
2022-09-06,59.85
2022-09-07,58.0
2022-09-08,55.88
2022-09-09,57.0
2022-09-12,60.0
2022-09-13,58.0
2022-09-14,60.0
2022-09-15,60.4
2022-09-16,59.81
2022-09-19,59.0
2022-09-20,54.4
2022-09-21,51.4
2022-09-22,52.71
2022-09-23,46.85
2022-09-26,46.0
2022-09-27,43.67
2022-09-28,46.0
2022-09-29,45.75
2022-09-30,45.5
2022-10-03,47.96
2022-10-04,48.51
2022-10-05,47.2
2022-10-06,47.0
2022-10-07,46.0
2022-10-10,46.0
2022-10-11,46.5
2022-10-12,47.87
2022-10-13,47.88
2022-10-14,47.45
2022-10-17,47.6
2022-10-18,47.55
2022-10-19,46.98
2022-10-20,48.16
2022-10-21,48.56
2022-10-24,48.7
2022-10-25,49.51
2022-10-26,48.78
2022-10-27,49.52
2022-10-28,50.8
2022-10-31,51.6
2022-11-01,51.02
2022-11-02,50.7
2022-11-03,50.16
2022-11-07,50.84
2022-11-08,50.8
2022-11-09,49.16
2022-11-10,49.74
2022-11-11,49.32
2022-11-14,49.8
2022-11-15,49.74
2022-11-16,49.34
2022-11-17,50.1
2022-11-18,49.48
2022-11-21,49.02
2022-11-22,50.14
2022-11-23,49.86
2022-11-24,49.2
2022-11-25,49.48
2022-11-28,49.44
2022-11-29,49.34
2022-11-30,49.62
2022-12-01,49.7
2022-12-02,51.5
2022-12-05,52.6
2022-12-06,54.98
2022-12-07,55.14
2022-12-08,55.0
2022-12-09,56.2
2022-12-12,57.3
2022-12-13,57.96
2022-12-14,55.9
2022-12-15,54.74
2022-12-16,53.32
2022-12-19,50.8
2022-12-20,51.2
2022-12-21,50.5
2022-12-22,50.0
2022-12-23,50.02
2022-12-26,49.9
2022-12-27,49.8
2022-12-28,49.38
2022-12-29,50.18
2022-12-30,50.06
2023-01-03,50.0
2023-01-04,49.9
2023-01-05,50.06
2023-01-06,50.14
2023-01-09,51.14
2023-01-10,51.82
2023-01-11,52.44
2023-01-12,52.2
2023-01-13,52.06
2023-01-16,52.1
2023-01-17,52.16
2023-01-18,52.02
2023-01-19,51.72
2023-01-20,51.12
2023-01-23,51.68
2023-01-24,51.78
2023-01-25,51.16
2023-01-26,52.6
2023-01-27,54.02
2023-01-30,53.5
2023-01-31,54.62
2023-02-01,53.56
2023-02-02,54.58
2023-02-03,54.76
2023-02-06,56.28
2023-02-07,55.82
2023-02-08,55.56
2023-02-09,55.06
2023-02-10,55.08
2023-02-13,55.72
2023-02-14,54.16
2023-02-15,51.42
2023-02-16,52.42
2023-02-17,52.18
2023-02-20,52.12
2023-02-21,52.78
2023-02-22,54.02
2023-02-24,54.2
2023-02-27,54.2
2023-02-28,53.98
2023-03-01,54.16
2023-03-02,53.56
2023-03-03,53.5
2023-03-06,54.4
2023-03-07,54.5
2023-03-09,55.36
2023-03-10,54.74
2023-03-13,54.6
2023-03-14,54.3
2023-03-15,54.0
2023-03-16,53.22
2023-03-17,53.98
2023-03-20,54.14
2023-03-21,55.84
2023-03-22,54.5
2023-03-23,54.2
2023-03-24,53.82
2023-03-27,54.2
2023-03-28,53.66
2023-03-29,54.5
2023-03-30,54.6
2023-03-31,57.38
2023-04-03,59.94
2023-04-04,57.64
2023-04-05,57.56
2023-04-06,58.84
2023-04-07,59.44
2023-04-10,63.22
2023-04-11,65.66
2023-04-12,64.7
2023-04-13,64.82
2023-04-14,64.98
2023-04-17,65.76
2023-04-18,65.26
2023-04-19,67.04
2023-04-20,66.14
2023-04-21,65.38
2023-04-24,65.46
2023-04-25,66.12
2023-04-26,65.4
2023-04-27,64.8
2023-04-28,63.98
2023-05-02,63.42
2023-05-03,62.04
2023-05-04,60.9
2023-05-05,64.3
2023-05-08,62.92
2023-05-10,63.66
2023-05-11,65.48
2023-05-12,64.44
2023-05-15,64.98
2023-05-16,64.46
2023-05-17,64.4
2023-05-18,67.14
2023-05-19,68.24
2023-05-22,70.12
2023-05-23,68.84
2023-05-24,68.76
2023-05-25,67.16
2023-05-26,68.0
2023-05-29,67.44
2023-05-30,66.64
2023-05-31,68.1
2023-06-01,69.94
2023-06-02,70.72
2023-06-05,68.76
2023-06-06,70.5
2023-06-07,71.54
2023-06-08,71.1
2023-06-09,70.92
2023-06-13,71.36
2023-06-14,71.5
2023-06-15,72.64
2023-06-16,73.4
2023-06-19,72.06
2023-06-20,71.9
2023-06-21,71.6
2023-06-22,71.5
2023-06-23,69.24
2023-06-26,70.34
2023-06-27,71.7
2023-06-28,79.86
2023-06-29,78.54
2023-06-30,78.94
2023-07-03,82.68
2023-07-04,87.98
2023-07-05,88.32
2023-07-06,88.0
2023-07-07,84.5
2023-07-10,85.34
2023-07-11,84.92
2023-07-12,84.72
2023-07-13,85.24
2023-07-14,86.68
2023-07-17,90.98
2023-07-18,90.06
2023-07-19,89.0
2023-07-20,87.8
2023-07-21,86.94
2023-07-24,87.68
2023-07-25,89.7
2023-07-26,90.14
2023-07-27,93.64
2023-07-28,93.92
2023-07-31,93.88
2023-08-01,93.7
2023-08-02,93.58
2023-08-03,94.96
2023-08-04,92.26
2023-08-07,91.2
2023-08-08,93.04
2023-08-09,94.8
2023-08-10,94.66
2023-08-11,94.88
2023-08-14,93.96
2023-08-15,94.72
2023-08-16,92.84
2023-08-17,95.4
2023-08-18,105.0
2023-08-21,118.5
2023-08-22,118.94
2023-08-23,116.2
2023-08-24,113.26
2023-08-25,113.28
2023-08-28,113.52
2023-08-29,110.5
2023-08-30,112.98
2023-08-31,112.36
2023-09-01,113.18
2023-09-04,112.92
2023-09-05,112.9
2023-09-06,112.96
2023-09-07,112.0
2023-09-08,111.02
2023-09-11,109.32
2023-09-12,109.68
2023-09-13,113.46
2023-09-14,108.8
2023-09-15,110.34
2023-09-18,109.7
2023-09-19,108.34
2023-09-20,106.6
2023-09-21,101.28
2023-09-22,105.4
2023-09-25,108.32
2023-09-26,108.0
2023-09-27,109.0
2023-09-28,109.18
2023-09-29,109.2
2023-10-02,109.22
2023-10-03,109.14
2023-10-04,108.28
2023-10-05,107.06
2023-10-06,106.8
2023-10-09,106.86
2023-10-10,100.12
2023-10-11,98.84
2023-10-12,97.16
2023-10-13,95.74
2023-10-16,98.5
2023-10-17,101.08
2023-10-18,101.92
2023-10-19,101.3
2023-10-20,99.88
2023-10-23,99.46
2023-10-24,98.72
2023-10-25,97.8
2023-10-26,97.3
2023-10-27,95.6
2023-10-30,95.32
2023-10-31,94.98
2023-11-01,98.2
2023-11-02,96.5
2023-11-03,96.0
2023-11-06,96.2
2023-11-07,95.74
2023-11-08,96.92
2023-11-09,96.72
2023-11-10,96.3
2023-11-13,96.0
2023-11-14,97.0
2023-11-15,96.46
2023-11-16,100.7
2023-11-17,97.66
2023-11-20,98.1
2023-11-21,97.38
2023-11-22,96.68
2023-11-23,96.12
2023-11-24,97.0
2023-11-27,95.78
2023-11-28,93.0
2023-11-29,93.52
2023-11-30,91.0
2023-12-01,89.62
2023-12-04,86.7
2023-12-05,90.0
2023-12-06,89.68
2023-12-07,89.0
2023-12-08,89.02
2023-12-11,86.0
2023-12-12,85.5
2023-12-13,85.5
2023-12-14,85.78
2023-12-15,86.0
2023-12-18,91.2
2023-12-19,90.68
2023-12-20,91.14
2023-12-21,90.5
2023-12-22,93.78
2023-12-25,94.4
2023-12-26,96.92
2023-12-27,98.7
2023-12-28,96.78
2023-12-29,94.0
2024-01-03,94.0
2024-01-04,96.46
2024-01-05,95.62
2024-01-08,96.46
2024-01-09,95.0
2024-01-10,94.5
2024-01-11,95.1
2024-01-12,95.02
2024-01-15,98.36
2024-01-16,96.44
2024-01-17,97.12
2024-01-18,95.68
2024-01-19,94.4
2024-01-22,96.96
2024-01-23,95.54
2024-01-24,96.16
2024-01-25,100.46
2024-01-26,99.12
2024-01-29,99.0
2024-01-30,97.48
2024-01-31,98.3
2024-02-01,97.0
2024-02-02,97.0
2024-02-05,95.0
2024-02-06,96.02
2024-02-07,98.44
2024-02-08,98.16
2024-02-09,97.06
2024-02-12,98.36
2024-02-13,97.9
2024-02-14,99.42
2024-02-15,102.56
2024-02-16,100.1
2024-02-19,101.88
2024-02-20,101.98
2024-02-21,98.84
2024-02-22,99.0
2024-02-26,102.5
2024-02-27,103.0
2024-02-28,101.6
2024-02-29,101.8
2024-03-01,102.34
2024-03-04,102.0
2024-03-05,103.5
2024-03-06,105.0
2024-03-07,105.64
2024-03-11,105.9
2024-03-12,103.66
2024-03-13,101.3
2024-03-14,99.5
2024-03-15,100.38
2024-03-18,102.22
2024-03-19,100.76
2024-03-20,100.5
2024-03-21,101.0
2024-03-22,99.88
2024-03-25,99.86
2024-03-26,100.14
2024-03-27,100.42
2024-03-28,100.1
2024-03-29,100.24
2024-04-01,102.28
2024-04-02,102.0
2024-04-03,103.86
2024-04-04,102.58
2024-04-05,101.64
2024-04-08,101.78
2024-04-09,100.22
2024-04-10,101.58
2024-04-11,101.24
2024-04-12,101.0
2024-04-15,103.78
2024-04-16,105.92
2024-04-17,105.56
2024-04-18,105.7
2024-04-19,107.1
2024-04-22,106.0
2024-04-23,104.62
2024-04-24,104.0
2024-04-25,107.36
2024-04-26,105.7
2024-04-27,107.14
2024-04-29,107.04
2024-04-30,108.06
2024-05-02,108.5
2024-05-03,109.0
2024-05-06,106.34
2024-05-07,107.52
2024-05-08,107.46
2024-05-10,106.24
2024-05-13,106.78
2024-05-14,108.3
2024-05-15,108.0
2024-05-16,109.88
2024-05-17,111.12
2024-05-20,112.96
2024-05-21,112.0
2024-05-22,110.76
2024-05-23,109.0
2024-05-24,106.2
2024-05-27,104.02
2024-05-28,104.16
2024-05-29,104.32
2024-05-30,103.94
2024-05-31,100.32
2024-06-03,97.92
2024-06-04,102.38
2024-06-05,103.78
2024-06-06,102.34
2024-06-07,105.68
2024-06-10,102.0
2024-06-11,101.36
2024-06-13,101.46
2024-06-14,104.0
2024-06-17,103.04
2024-06-18,99.8
2024-06-19,99.52
2024-06-20,99.54
2024-06-21,99.74
2024-06-24,96.46
2024-06-25,94.4
2024-06-26,99.0
2024-06-27,97.1
2024-06-28,98.16
2024-07-01,97.5
2024-07-02,98.12
2024-07-03,97.42
2024-07-04,96.96
2024-07-05,94.54
2024-07-08,92.18
2024-07-09,89.86
2024-07-10,86.0
2024-07-11,88.22
2024-07-12,92.14
2024-07-15,90.0
2024-07-16,87.56
2024-07-17,87.9
2024-07-18,89.86
2024-07-19,92.58
2024-07-22,91.1
2024-07-23,91.3
2024-07-24,91.42
2024-07-25,90.0
2024-07-26,88.78
2024-07-29,85.0
2024-07-30,86.0
2024-07-31,88.9
2024-08-01,90.06
2024-08-02,87.5
2024-08-05,85.56
2024-08-06,89.0
2024-08-07,94.06
2024-08-08,92.6
2024-08-09,92.96
2024-08-12,92.76
2024-08-13,94.5
2024-08-14,94.66
2024-08-15,94.5
2024-08-16,95.5
2024-08-19,94.34
2024-08-20,96.26
2024-08-21,95.7
2024-08-22,94.5
2024-08-23,93.74
2024-08-26,96.1
2024-08-27,94.8
2024-08-28,95.0
2024-08-29,95.38
2024-08-30,91.6
2024-09-02,86.68
2024-09-03,86.78
2024-09-04,90.3
2024-09-05,89.08
2024-09-06,90.58
2024-09-09,94.58
2024-09-10,91.34
2024-09-11,91.64
2024-09-12,90.0
2024-09-13,89.86
2024-09-16,93.96
2024-09-17,95.28
2024-09-18,95.14
2024-09-19,94.52
2024-09-20,97.22
2024-09-23,98.5
2024-09-24,98.64
2024-09-25,95.66
2024-09-26,99.26
2024-09-27,97.8
2024-09-30,98.0
2024-10-01,96.82
2024-10-02,98.2
2024-10-03,96.38
2024-10-04,97.56
2024-10-07,97.52
2024-10-08,97.7
2024-10-09,96.56
2024-10-10,96.16
2024-10-11,96.44
2024-10-14,95.82
2024-10-15,97.48
2024-10-16,97.8
2024-10-17,96.6
2024-10-18,96.22
2024-10-21,97.32
2024-10-22,95.72
2024-10-23,93.52
2024-10-24,93.7
2024-10-25,93.8
2024-10-28,90.92
2024-10-29,94.44
2024-10-30,96.96
2024-10-31,97.0
2024-11-01,94.46
2024-11-02,94.0
2024-11-05,95.0
2024-11-06,95.0
2024-11-07,97.54
2024-11-08,98.2
2024-11-11,102.26
2024-11-12,101.7
2024-11-13,104.3
2024-11-14,100.18
2024-11-15,101.82
2024-11-18,100.5
2024-11-19,101.6
2024-11-20,101.0
2024-11-21,100.9
2024-11-22,99.52
2024-11-25,98.06
2024-11-26,95.0
2024-11-27,97.4
2024-11-28,96.66
2024-11-29,99.2
2024-12-02,97.28
2024-12-03,96.2
2024-12-04,96.2
2024-12-05,96.64
2024-12-06,97.5
2024-12-09,97.76
2024-12-10,97.28
2024-12-11,96.44
2024-12-12,97.9
2024-12-13,96.7
2024-12-16,97.98
2024-12-17,97.38
2024-12-18,96.04
2024-12-19,94.02
2024-12-20,101.06
2024-12-23,101.0
2024-12-24,100.58
2024-12-25,102.2
2024-12-26,105.1
2024-12-27,106.98
2024-12-28,107.36
2024-12-30,110.5
2025-01-03,108.38
2025-01-06,109.8
2025-01-08,111.36
2025-01-09,106.86
2025-01-10,113.1
2025-01-13,113.42
2025-01-14,115.0
2025-01-15,113.44
2025-01-16,115.32
2025-01-17,114.54
2025-01-20,113.96
2025-01-21,113.0
2025-01-22,118.0
2025-01-23,117.58
2025-01-24,121.96
2025-01-27,117.26
2025-01-28,115.4
2025-01-29,115.56
2025-01-30,118.76
2025-01-31,118.94
2025-02-03,115.0
2025-02-04,114.4
2025-02-05,114.2
2025-02-06,113.6
2025-02-07,113.4
2025-02-10,114.22
2025-02-11,115.1
2025-02-12,116.68
2025-02-13,128.98
2025-02-14,122.26
2025-02-17,126.3
2025-02-18,122.92
2025-02-19,123.8
2025-02-20,126.02
2025-02-21,126.88
2025-02-24,125.9
2025-02-25,128.0
2025-02-26,127.98
2025-02-27,130.28
2025-02-28,136.5
2025-03-03,136.56
2025-03-04,133.92
2025-03-05,134.2
2025-03-06,128.3
2025-03-07,132.92
2025-03-10,134.2
2025-03-11,134.02
2025-03-12,136.54
2025-03-13,133.18
2025-03-14,135.46
2025-03-17,134.58
2025-03-18,135.42
2025-03-19,136.62
2025-03-20,138.2
2025-03-21,137.52
2025-03-24,136.92
2025-03-25,138.0
2025-03-26,133.24
2025-03-27,127.82
2025-03-28,125.6
2025-03-31,125.46
2025-04-01,121.66
2025-04-02,121.0
2025-04-03,119.54
2025-04-04,113.0
2025-04-07,109.66
2025-04-08,112.32
2025-04-09,118.12
2025-04-10,119.38
2025-04-11,120.24
2025-04-14,117.74
2025-04-15,119.46
2025-04-16,120.86
2025-04-17,121.44
2025-04-18,119.32
2025-04-21,120.66
2025-04-22,123.28
2025-04-23,121.78
2025-04-24,120.38
2025-04-25,120.9
2025-04-28,118.68
2025-04-29,115.68
2025-04-30,114.42
2025-05-02,112.04
2025-05-05,109.96
2025-05-06,111.5
2025-05-07,112.06
2025-05-08,112.68
2025-05-12,114.22
2025-05-13,114.6
2025-05-14,112.78
2025-05-15,112.56
2025-05-16,111.18
2025-05-19,115.6
2025-05-20,113.72
2025-05-21,112.2
2025-05-22,112.34
2025-05-23,112.68
2025-05-26,111.66
2025-05-27,110.68
2025-05-28,111.74
2025-05-29,109.72
2025-05-30,110.1
2025-06-02,113.46
2025-06-03,119.56
2025-06-04,118.0
2025-06-05,117.86
2025-06-06,114.6
2025-06-09,115.12
2025-06-10,115.54
2025-06-11,119.78
2025-06-13,118.84
2025-06-16,115.52
2025-06-17,117.08
2025-06-18,116.76
2025-06-19,118.22
2025-06-20,116.1
2025-06-23,114.64
2025-06-24,115.64
2025-06-25,117.0
2025-06-26,117.1
2025-06-27,118.6
2025-06-30,121.72
2025-07-01,122.62
2025-07-02,122.72
2025-07-03,123.14
2025-07-04,125.64
2025-07-07,124.4
2025-07-08,123.2
2025-07-09,119.5
2025-07-10,121.08
2025-07-11,120.02
2025-07-14,129.1
2025-07-15,124.5
2025-07-16,124.7
2025-07-17,123.96
2025-07-18,126.24
2025-07-21,125.88
2025-07-22,124.56
2025-07-23,126.08
2025-07-24,124.52
2025-07-25,123.62
2025-07-28,121.54
2025-07-29,122.3
2025-07-30,125.18
2025-07-31,125.76
2025-08-01,124.74
2025-08-04,124.28
2025-08-05,124.46
2025-08-06,128.58
2025-08-07,130.28
2025-08-08,132.8
2025-08-11,132.0
2025-08-12,130.88
2025-08-13,129.0
2025-08-14,129.9
2025-08-15,131.98
2025-08-18,130.96
2025-08-19,132.08
2025-08-20,131.46
2025-08-21,129.82
2025-08-22,134.0
2025-08-25,133.34
2025-08-26,131.96
2025-08-27,130.52
2025-08-28,125.84
2025-08-29,126.02
2025-09-01,122.36
2025-09-02,118.5
2025-09-03,120.58
2025-09-04,120.78
2025-09-05,119.18
2025-09-08,118.66
2025-09-09,119.38
2025-09-10,117.72
2025-09-11,116.0
2025-09-12,113.0
2025-09-15,111.68
2025-09-16,111.26
2025-09-17,112.24
2025-09-18,111.54
2025-09-19,108.92
2025-09-22,107.3
2025-09-23,104.5
2025-09-24,105.6
2025-09-25,102.78
2025-09-26,104.18
2025-09-29,101.54
2025-09-30,101.08
2025-10-01,98.62
2025-10-02,97.06
2025-10-03,97.5
2025-10-06,101.32
2025-10-07,100.96
2025-10-08,97.3
2025-10-09,100.38
2025-10-10,97.62
2025-10-13,97.78
2025-10-14,95.76
2025-10-15,96.7
2025-10-16,103.32
2025-10-17,103.08
2025-10-20,102.88
2025-10-21,100.18
2025-10-22,99.0
2025-10-23,98.0
2025-10-24,98.46
2025-10-27,94.58
2025-10-28,96.18
2025-10-29,96.7
2025-10-30,98.54
2025-10-31,96.62
2025-11-01,97.58
2025-11-03,99.02
2025-11-05,99.1
2025-11-06,99.66
2025-11-07,100.92
2025-11-10,101.48
2025-11-11,101.68
2025-11-12,100.74
2025-11-13,101.24
2025-11-14,99.88
2025-11-17,97.52
2025-11-18,99.58
2025-11-19,101.56
2025-11-20,101.72
2025-11-21,100.48
2025-11-24,101.1
2025-11-25,100.66
2025-11-26,100.2
2025-11-27,99.46
2025-11-28,100.3
2025-12-01,98.92
2025-12-02,98.86
2025-12-03,97.3
2025-12-04,97.74
2025-12-05,98.42
2025-12-08,98.54
2025-12-09,99.18
2025-12-10,99.36
2025-12-11,99.62
2025-12-12,99.4
2025-12-15,101.0
2025-12-16,101.38
2025-12-17,101.24
2025-12-18,101.86
2025-12-19,97.64
2025-12-22,96.96
2025-12-23,95.8
2025-12-24,95.3
2025-12-25,95.14
2025-12-26,95.68
2025-12-29,95.54
2025-12-30,95.72
