Date,RGBITR
2022-01-03,592.16
2022-01-04,592.73
2022-01-05,593.34
2022-01-06,590.38
2022-01-10,587.35
2022-01-11,584.12
2022-01-12,582.58
2022-01-13,577.67
2022-01-14,566.71
2022-01-17,563.29
2022-01-18,562.44
2022-01-19,568.07
2022-01-20,566.88
2022-01-21,565.49
2022-01-24,558.59
2022-01-25,557.65
2022-01-26,556.9
2022-01-27,559.99
2022-01-28,563.66
2022-01-31,564.69
2022-02-01,565.85
2022-02-02,567.46
2022-02-03,566.54
2022-02-04,567.53
2022-02-07,567.65
2022-02-08,567.87
2022-02-09,568.21
2022-02-10,567.27
2022-02-11,561.56
2022-02-14,551.03
2022-02-15,555.84
2022-02-16,560.73
2022-02-17,558.27
2022-02-18,558.13
2022-02-21,547.08
2022-02-22,534.8
2022-02-24,461.02
2022-02-25,479.03
2022-03-21,455.2
2022-03-22,477.14
2022-03-23,474.42
2022-03-24,476.55
2022-03-25,480.35
2022-03-28,479.01
2022-03-29,486.38
2022-03-30,507.42
2022-03-31,519.32
2022-04-01,520.38
2022-04-04,514.35
2022-04-05,513.86
2022-04-06,512.59
2022-04-07,512.55
2022-04-08,529.21
2022-04-11,540.63
2022-04-12,540.48
2022-04-13,543.31
2022-04-14,546.75
2022-04-15,543.86
2022-04-18,547.87
2022-04-19,555.45
2022-04-20,559.89
2022-04-21,565.64
2022-04-22,564.7
2022-04-25,561.06
2022-04-26,563.05
2022-04-27,562.65
2022-04-28,561.68
2022-04-29,563.04
2022-05-04,561.58
2022-05-05,560.1
2022-05-06,559.47
2022-05-11,559.78
2022-05-12,559.1
2022-05-13,558.75
2022-05-16,560.05
2022-05-17,560.36
2022-05-18,560.01
2022-05-19,561.61
2022-05-20,563.13
2022-05-23,563.21
2022-05-24,563.44
2022-05-25,574.47
2022-05-26,581.11
2022-05-27,579.89
2022-05-30,579.11
2022-05-31,579.27
2022-06-01,584.45
2022-06-02,591.13
2022-06-03,591.67
2022-06-06,594.34
2022-06-07,594.84
2022-06-08,594.93
2022-06-09,596.84
2022-06-10,597.85
2022-06-14,594.95
2022-06-15,594.92
2022-06-16,598.09
2022-06-17,598.0
2022-06-20,599.3
2022-06-21,600.13
2022-06-22,600.55
2022-06-23,603.0
2022-06-24,605.39
2022-06-27,608.68
2022-06-28,609.68
2022-06-29,609.27
2022-06-30,607.78
2022-07-01,606.49
2022-07-04,604.37
2022-07-05,602.06
2022-07-06,602.4
2022-07-07,604.89
2022-07-08,605.75
2022-07-11,605.53
2022-07-12,604.49
2022-07-13,603.94
2022-07-14,604.21
2022-07-15,604.55
2022-07-18,604.16
2022-07-19,604.05
2022-07-20,604.62
2022-07-21,607.59
2022-07-22,614.31
2022-07-25,616.48
2022-07-26,616.03
2022-07-27,616.4
2022-07-28,617.08
2022-07-29,618.24
2022-08-01,618.73
2022-08-02,618.87
2022-08-03,618.05
2022-08-04,618.25
2022-08-05,617.87
2022-08-08,618.17
2022-08-09,618.43
2022-08-10,617.73
2022-08-11,615.88
2022-08-12,613.88
2022-08-15,615.54
2022-08-16,616.25
2022-08-17,617.05
2022-08-18,617.37
2022-08-19,616.51
2022-08-22,615.68
2022-08-23,615.61
2022-08-24,615.17
2022-08-25,616.3
2022-08-26,616.59
2022-08-29,616.94
2022-08-30,617.35
2022-08-31,616.73
2022-09-01,617.48
2022-09-02,619.0
2022-09-05,621.39
2022-09-06,622.47
2022-09-07,622.52
2022-09-08,621.78
2022-09-09,620.96
2022-09-12,621.98
2022-09-13,620.96
2022-09-14,621.15
2022-09-15,621.97
2022-09-16,622.12
2022-09-19,615.18
2022-09-20,608.01
2022-09-21,595.48
2022-09-22,599.17
2022-09-23,592.29
2022-09-26,579.52
2022-09-27,590.56
2022-09-28,589.89
2022-09-29,582.97
2022-09-30,579.01
2022-10-03,584.8
2022-10-04,591.63
2022-10-05,591.56
2022-10-06,593.85
2022-10-07,593.17
2022-10-10,588.89
2022-10-11,593.37
2022-10-12,595.51
2022-10-13,596.48
2022-10-14,597.44
2022-10-17,599.87
2022-10-18,600.91
2022-10-19,600.89
2022-10-20,602.34
2022-10-21,603.98
2022-10-24,605.33
2022-10-25,605.35
2022-10-26,605.21
2022-10-27,604.38
2022-10-28,604.32
2022-10-31,603.16
2022-11-01,603.03
2022-11-02,600.37
2022-11-03,600.5
2022-11-07,601.45
2022-11-08,598.92
2022-11-09,598.02
2022-11-10,600.39
2022-11-11,601.42
2022-11-14,601.59
2022-11-15,601.87
2022-11-16,603.56
2022-11-17,606.72
2022-11-18,606.84
2022-11-21,607.0
2022-11-22,606.08
2022-11-23,606.4
2022-11-24,607.75
2022-11-25,608.2
2022-11-28,608.78
2022-11-29,608.76
2022-11-30,608.71
2022-12-01,608.52
2022-12-02,608.29
2022-12-05,607.68
2022-12-06,607.52
2022-12-07,607.74
2022-12-08,608.98
2022-12-09,609.57
2022-12-12,609.79
2022-12-13,610.63
2022-12-14,611.0
2022-12-15,610.67
2022-12-16,610.86
2022-12-19,609.52
2022-12-20,608.81
2022-12-21,608.67
2022-12-22,609.59
2022-12-23,609.9
2022-12-26,610.55
2022-12-27,610.58
2022-12-28,610.16
2022-12-29,610.65
2022-12-30,611.72
2023-01-03,614.58
2023-01-04,615.61
2023-01-05,616.42
2023-01-06,616.08
2023-01-09,613.95
2023-01-10,613.38
2023-01-11,612.57
2023-01-12,612.82
2023-01-13,613.33
2023-01-16,613.43
2023-01-17,613.85
2023-01-18,613.37
2023-01-19,614.02
2023-01-20,613.79
2023-01-23,613.29
2023-01-24,613.15
2023-01-25,613.29
2023-01-26,613.9
2023-01-27,614.32
2023-01-30,614.81
2023-01-31,614.74
2023-02-01,614.85
2023-02-02,615.29
2023-02-03,614.52
2023-02-06,614.65
2023-02-07,614.83
2023-02-08,613.89
2023-02-09,613.43
2023-02-10,613.48
2023-02-13,611.71
2023-02-14,610.82
2023-02-15,609.2
2023-02-16,609.45
2023-02-17,609.26
2023-02-20,609.2
2023-02-21,609.09
2023-02-22,609.98
2023-02-24,611.97
2023-02-27,611.83
2023-02-28,611.99
2023-03-01,612.31
2023-03-02,612.67
2023-03-03,613.57
2023-03-06,614.17
2023-03-07,614.98
2023-03-09,615.24
2023-03-10,615.87
2023-03-13,615.99
2023-03-14,615.74
2023-03-15,615.26
2023-03-16,615.08
2023-03-17,613.68
2023-03-20,613.82
2023-03-21,613.91
2023-03-22,615.27
2023-03-23,616.0
2023-03-24,616.73
2023-03-27,617.41
2023-03-28,617.06
2023-03-29,617.08
2023-03-30,617.24
2023-03-31,617.39
2023-04-03,618.09
2023-04-04,617.14
2023-04-05,616.93
2023-04-06,617.01
2023-04-07,615.73
2023-04-10,617.33
2023-04-11,617.63
2023-04-12,617.61
2023-04-13,617.6
2023-04-14,617.95
2023-04-17,618.52
2023-04-18,618.71
2023-04-19,618.99
2023-04-20,619.65
2023-04-21,619.86
2023-04-24,620.89
2023-04-25,620.97
2023-04-26,621.18
2023-04-27,621.93
2023-04-28,623.43
2023-05-02,624.55
2023-05-03,624.84
