Date,ROSN
2022-01-03,610.95
2022-01-04,613.5
2022-01-05,590.3
2022-01-06,601.6
2022-01-10,602.0
2022-01-11,613.6
2022-01-12,627.7
2022-01-13,603.3
2022-01-14,605.5
2022-01-17,592.55
2022-01-18,544.8
2022-01-19,566.9
2022-01-20,561.7
2022-01-21,564.8
2022-01-24,546.9
2022-01-25,548.4
2022-01-26,532.75
2022-01-27,563.2
2022-01-28,566.5
2022-01-31,576.95
2022-02-01,574.15
2022-02-02,575.7
2022-02-03,569.0
2022-02-04,572.0
2022-02-07,569.8
2022-02-08,570.05
2022-02-09,579.0
2022-02-10,569.4
2022-02-11,547.4
2022-02-14,556.0
2022-02-15,565.95
2022-02-16,571.55
2022-02-17,549.5
2022-02-18,519.5
2022-02-21,438.7
2022-02-22,431.3
2022-02-24,274.7
2022-02-25,307.95
2022-03-24,360.2
2022-03-25,365.1
2022-03-28,357.95
2022-03-29,370.0
2022-03-30,387.0
2022-03-31,437.5
2022-04-01,450.0
2022-04-04,443.9
2022-04-05,419.0
2022-04-06,405.0
2022-04-07,408.5
2022-04-08,403.05
2022-04-11,414.0
2022-04-12,412.1
2022-04-13,406.05
2022-04-14,391.0
2022-04-15,390.5
2022-04-18,384.85
2022-04-19,385.0
2022-04-20,391.0
2022-04-21,388.0
2022-04-22,397.35
2022-04-25,388.5
2022-04-26,391.0
2022-04-27,397.95
2022-04-28,400.0
2022-04-29,409.0
2022-05-04,396.2
2022-05-05,397.0
2022-05-06,392.3
2022-05-11,391.55
2022-05-12,375.0
2022-05-13,374.95
2022-05-16,378.8
2022-05-17,394.7
2022-05-18,404.0
2022-05-19,399.6
2022-05-20,384.25
2022-05-23,367.05
2022-05-24,359.2
2022-05-25,378.0
2022-05-26,391.7
2022-05-27,401.5
2022-05-30,385.1
2022-05-31,377.0
2022-06-01,375.95
2022-06-02,368.75
2022-06-03,365.45
2022-06-06,368.8
2022-06-07,366.55
2022-06-08,372.85
2022-06-09,373.25
2022-06-10,369.5
2022-06-14,371.6
2022-06-15,375.65
2022-06-16,383.0
2022-06-17,384.45
2022-06-20,389.8
2022-06-21,381.3
2022-06-22,377.6
2022-06-23,378.4
2022-06-24,377.0
2022-06-27,376.65
2022-06-28,381.85
2022-06-29,384.2
2022-06-30,362.25
2022-07-01,375.15
2022-07-04,371.6
2022-07-05,371.5
2022-07-06,369.65
2022-07-07,364.95
2022-07-08,351.2
2022-07-11,343.8
2022-07-12,333.5
2022-07-13,321.0
2022-07-14,315.45
2022-07-15,330.5
2022-07-18,326.0
2022-07-19,320.75
2022-07-20,330.0
2022-07-21,328.2
2022-07-22,340.0
2022-07-25,336.6
2022-07-26,347.0
2022-07-27,348.7
2022-07-28,344.3
2022-07-29,353.0
2022-08-01,348.0
2022-08-02,335.8
2022-08-03,330.25
2022-08-04,324.6
2022-08-05,322.7
2022-08-08,327.35
2022-08-09,339.65
2022-08-10,339.5
2022-08-11,333.0
2022-08-12,336.2
2022-08-15,335.9
2022-08-16,348.0
2022-08-17,344.1
2022-08-18,346.4
2022-08-19,344.8
2022-08-22,349.6
2022-08-23,356.0
2022-08-24,358.2
2022-08-25,355.6
2022-08-26,361.5
2022-08-29,367.3
2022-08-30,361.3
2022-08-31,368.0
2022-09-01,373.5
2022-09-02,385.1
2022-09-05,385.1
