Date,SU26238RMFS4
2022-01-03,89.642
2022-01-04,89.698
2022-01-05,89.249
2022-01-06,89.0
2022-01-10,88.3
2022-01-11,87.5
2022-01-12,87.1
2022-01-13,84.81
2022-01-14,83.289
2022-01-17,82.1
2022-01-18,82.45
2022-01-19,83.628
2022-01-20,82.787
2022-01-21,82.525
2022-01-24,80.099
2022-01-25,80.099
2022-01-26,79.5
2022-01-27,81.433
2022-01-28,81.498
2022-01-31,81.888
2022-02-01,81.9
2022-02-02,82.499
2022-02-03,81.949
2022-02-04,82.04
2022-02-07,81.958
2022-02-08,81.905
2022-02-09,82.14
2022-02-10,81.777
2022-02-11,79.352
2022-02-14,78.031
2022-02-15,79.6
2022-02-16,80.446
2022-02-17,79.413
2022-02-18,78.681
2022-02-21,74.218
2022-02-22,73.001
2022-02-24,65.999
2022-02-25,67.972
2022-03-21,57.585
2022-03-22,61.5
2022-03-23,60.112
2022-03-24,60.0
2022-03-25,60.598
2022-03-28,60.44
2022-03-29,64.38
2022-03-30,69.15
2022-03-31,69.6
2022-04-01,69.058
2022-04-04,66.5
2022-04-05,65.999
2022-04-06,65.516
2022-04-07,66.852
2022-04-08,72.188
2022-04-11,72.62
2022-04-12,72.994
2022-04-13,74.2
2022-04-14,74.099
2022-04-15,74.038
2022-04-18,75.16
2022-04-19,77.1
2022-04-20,78.199
2022-04-21,79.547
2022-04-22,78.612
2022-04-25,77.786
2022-04-26,77.96
2022-04-27,78.243
2022-04-28,78.0
2022-04-29,77.314
2022-05-04,76.369
2022-05-05,76.339
2022-05-06,76.09
2022-05-11,76.069
2022-05-12,75.492
2022-05-13,75.7
2022-05-16,76.0
2022-05-17,75.875
2022-05-18,75.93
2022-05-19,76.597
2022-05-20,76.85
2022-05-23,76.848
2022-05-24,77.372
2022-05-25,80.899
2022-05-26,81.573
2022-05-27,81.678
2022-05-30,81.253
2022-05-31,81.693
2022-06-01,83.4
2022-06-02,83.862
2022-06-03,83.871
2022-06-06,84.356
2022-06-07,84.49
2022-06-08,84.28
2022-06-09,84.818
2022-06-10,84.119
2022-06-14,83.527
2022-06-15,83.625
2022-06-16,84.972
2022-06-17,84.724
2022-06-20,84.89
2022-06-21,84.874
2022-06-22,84.998
2022-06-23,85.5
2022-06-24,85.956
2022-06-27,86.646
2022-06-28,86.393
2022-06-29,85.963
2022-06-30,85.877
2022-07-01,85.416
2022-07-04,84.726
2022-07-05,84.15
2022-07-06,84.619
2022-07-07,84.499
2022-07-08,84.49
2022-07-11,83.9
2022-07-12,83.923
2022-07-13,83.7
2022-07-14,83.71
2022-07-15,83.9
2022-07-18,83.7
2022-07-19,83.67
2022-07-20,83.901
2022-07-21,84.7
2022-07-22,86.099
2022-07-25,85.649
2022-07-26,85.405
2022-07-27,85.48
2022-07-28,85.61
2022-07-29,85.5
2022-08-01,85.416
2022-08-02,85.389
2022-08-03,85.298
2022-08-04,85.45
2022-08-05,85.199
2022-08-08,85.397
2022-08-09,85.221
2022-08-10,84.977
2022-08-11,84.5
2022-08-12,84.25
2022-08-15,84.277
2022-08-16,84.444
