Date,YDEX
2024-07-24,4148.5
2024-07-25,4137.5
2024-07-26,3962.5
2024-07-29,3867.0
2024-07-30,3910.0
2024-07-31,3892.0
2024-08-01,3871.5
2024-08-02,3728.5
2024-08-05,3585.0
2024-08-06,3644.0
2024-08-07,3854.0
2024-08-08,3828.0
2024-08-09,3854.5
2024-08-12,3923.0
2024-08-13,3911.0
2024-08-14,3831.5
2024-08-15,3828.0
2024-08-16,3776.5
2024-08-19,3725.5
2024-08-20,3753.0
2024-08-21,3836.5
2024-08-22,3794.0
2024-08-23,3807.0
2024-08-26,3913.5
2024-08-27,3844.0
2024-08-28,3892.5
2024-08-29,3926.0
2024-08-30,3765.5
2024-09-02,3620.5
2024-09-03,3652.0
2024-09-04,3737.0
2024-09-05,3679.5
2024-09-06,3715.0
2024-09-09,3883.5
2024-09-10,3825.0
2024-09-11,3782.0
2024-09-12,3828.5
2024-09-13,3914.5
2024-09-16,4119.0
2024-09-17,4106.0
2024-09-18,4031.0
2024-09-19,4137.5
2024-09-20,4100.0
2024-09-23,4202.5
2024-09-24,4160.0
2024-09-25,4035.5
2024-09-26,4001.5
2024-09-27,4024.0
2024-09-30,4007.5
2024-10-01,3963.0
2024-10-02,3907.5
2024-10-03,3969.0
2024-10-04,3945.5
2024-10-07,3928.5
2024-10-08,3982.5
2024-10-09,3933.5
2024-10-10,3979.5
2024-10-11,3975.0
2024-10-14,4074.0
2024-10-15,4091.0
2024-10-16,4057.0
2024-10-17,3983.5
2024-10-18,3968.5
2024-10-21,4031.0
2024-10-22,3964.5
2024-10-23,3883.5
2024-10-24,3969.5
2024-10-25,3834.5
2024-10-28,3743.0
2024-10-29,3758.0
2024-10-30,3710.0
2024-10-31,3666.5
2024-11-01,3674.0
2024-11-02,3683.5
2024-11-05,3646.0
2024-11-06,3677.0
2024-11-07,3811.5
2024-11-08,3888.0
2024-11-11,3885.0
2024-11-12,3758.5
2024-11-13,3693.0
2024-11-14,3678.0
2024-11-15,3712.0
2024-11-18,3649.0
2024-11-19,3560.0
2024-11-20,3460.0
2024-11-21,3509.0
2024-11-22,3415.0
2024-11-25,3299.5
