Date,YNDX
2022-01-03,4515.2
2022-01-04,4479.8
2022-01-05,4275.0
2022-01-06,4226.6
2022-01-10,4196.4
2022-01-11,4338.2
2022-01-12,4393.2
2022-01-13,4168.0
2022-01-14,3938.6
2022-01-17,4075.6
2022-01-18,3769.0
2022-01-19,3701.8
2022-01-20,3669.2
2022-01-21,3490.0
2022-01-24,3345.0
2022-01-25,3409.2
2022-01-26,3364.8
2022-01-27,3405.2
2022-01-28,3448.4
2022-01-31,3717.6
2022-02-01,3724.0
2022-02-02,3675.0
2022-02-03,3517.0
2022-02-04,3502.4
2022-02-07,3468.0
2022-02-08,3624.2
2022-02-09,3763.0
2022-02-10,3805.0
2022-02-11,3429.8
2022-02-14,3471.4
2022-02-15,3953.2
2022-02-16,4044.8
2022-02-17,3772.6
2022-02-18,3475.4
2022-02-21,3065.8
2022-02-22,3154.8
2022-02-24,1990.0
2022-02-25,1931.2
2022-03-29,2020.0
2022-03-30,2154.0
2022-03-31,2259.0
2022-04-01,2325.0
2022-04-04,2285.0
2022-04-05,2158.4
2022-04-06,2070.8
2022-04-07,2130.0
2022-04-08,2115.0
2022-04-11,2097.0
2022-04-12,2074.0
2022-04-13,2088.0
2022-04-14,1945.2
2022-04-15,1979.6
2022-04-18,1880.2
2022-04-19,1857.6
2022-04-20,1789.8
2022-04-21,1646.0
2022-04-22,1692.0
2022-04-25,1520.8
2022-04-26,1600.8
2022-04-27,1748.6
2022-04-28,1721.0
2022-04-29,1766.6
2022-05-04,1699.0
2022-05-05,1734.4
2022-05-06,1688.0
2022-05-11,1677.4
2022-05-12,1594.0
2022-05-13,1593.0
2022-05-16,1638.2
2022-05-17,1701.0
2022-05-18,1715.8
2022-05-19,1705.0
2022-05-20,1646.0
2022-05-23,1592.8
2022-05-24,1590.0
2022-05-25,1608.0
2022-05-26,1670.0
2022-05-27,1644.0
2022-05-30,1597.6
2022-05-31,1567.8
2022-06-01,1586.0
2022-06-02,1592.0
2022-06-03,1497.0
2022-06-06,1399.8
2022-06-07,1438.0
2022-06-08,1456.2
2022-06-09,1401.4
2022-06-10,1400.8
2022-06-14,1386.0
2022-06-15,1390.0
2022-06-16,1456.2
2022-06-17,1465.0
2022-06-20,1560.8
2022-06-21,1533.8
2022-06-22,1600.0
2022-06-23,1662.0
2022-06-24,1645.0
2022-06-27,1779.0
2022-06-28,1750.0
2022-06-29,1712.0
2022-06-30,1603.8
2022-07-01,1596.0
2022-07-04,1660.0
2022-07-05,1701.4
2022-07-06,1655.0
2022-07-07,1711.0
2022-07-08,1704.0
2022-07-11,1678.0
2022-07-12,1660.6
2022-07-13,1600.0
2022-07-14,1613.6
2022-07-15,1638.6
2022-07-18,1696.0
2022-07-19,1672.4
2022-07-20,1715.4
2022-07-21,1701.0
2022-07-22,1800.0
2022-07-25,1973.0
2022-07-26,2136.0
2022-07-27,2072.0
2022-07-28,2063.0
2022-07-29,1952.0
2022-08-01,1926.2
2022-08-02,1891.2
2022-08-03,1956.0
2022-08-04,2000.0
2022-08-05,1837.0
2022-08-08,1933.0
2022-08-09,1944.4
2022-08-10,1971.8
2022-08-11,1915.6
2022-08-12,1903.0
2022-08-15,1904.0
2022-08-16,1935.0
2022-08-17,1958.0
2022-08-18,1966.0
2022-08-19,1936.6
2022-08-22,2006.0
2022-08-23,2082.2
2022-08-24,2085.2
2022-08-25,2118.8
2022-08-26,2100.0
2022-08-29,2105.0
2022-08-30,2190.0
2022-08-31,2170.6
2022-09-01,2178.0
2022-09-02,2150.0
2022-09-05,2155.0
2022-09-06,2070.0
2022-09-07,2076.0
2022-09-08,2064.0
2022-09-09,2093.0
2022-09-12,2148.6
2022-09-13,2191.4
2022-09-14,2167.4
2022-09-15,2177.6
2022-09-16,2206.0
2022-09-19,2230.0
2022-09-20,2010.0
2022-09-21,1899.4
2022-09-22,1916.8
2022-09-23,1791.8
2022-09-26,1543.0
2022-09-27,1713.2
2022-09-28,1780.0
2022-09-29,1840.6
2022-09-30,1877.6
2022-10-03,1959.0
2022-10-04,1985.0
2022-10-05,2029.8
2022-10-06,2004.4
2022-10-07,1930.2
2022-10-10,1998.0
2022-10-11,2006.6
2022-10-12,2044.0
2022-10-13,2032.0
2022-10-14,1991.0
2022-10-17,2022.2
2022-10-18,1968.0
2022-10-19,1927.4
2022-10-20,1928.8
2022-10-21,1976.0
2022-10-24,1973.4
2022-10-25,2020.2
2022-10-26,2008.0
2022-10-27,2021.0
2022-10-28,2021.8
2022-10-31,2109.0
2022-11-01,2157.0
2022-11-02,2110.0
2022-11-03,2119.0
2022-11-07,2151.6
2022-11-08,2127.6
2022-11-09,2060.4
2022-11-10,2111.6
2022-11-11,2122.2
2022-11-14,2132.4
2022-11-15,2071.6
2022-11-16,2114.2
2022-11-17,2097.8
2022-11-18,2098.2
2022-11-21,2068.0
2022-11-22,2083.8
2022-11-23,2135.0
2022-11-24,2130.0
2022-11-25,2020.4
2022-11-28,1914.2
2022-11-29,1986.2
2022-11-30,1996.6
2022-12-01,1980.2
2022-12-02,1971.2
2022-12-05,1985.8
2022-12-06,1989.4
2022-12-07,1976.4
2022-12-08,1958.4
2022-12-09,1949.4
2022-12-12,1921.8
2022-12-13,1899.2
2022-12-14,1851.0
2022-12-15,1849.6
2022-12-16,1836.4
2022-12-19,1768.8
2022-12-20,1842.0
2022-12-21,1833.8
2022-12-22,1847.0
2022-12-23,1821.2
2022-12-26,1811.4
2022-12-27,1834.0
2022-12-28,1815.8
2022-12-29,1819.6
2022-12-30,1817.8
2023-01-03,1832.0
2023-01-04,1867.0
2023-01-05,1855.4
2023-01-06,1850.4
2023-01-09,1866.8
2023-01-10,1870.0
2023-01-11,1909.0
2023-01-12,1897.8
2023-01-13,1912.0
2023-01-16,1953.8
2023-01-17,1889.6
2023-01-18,1906.6
2023-01-19,1882.4
2023-01-20,1904.8
2023-01-23,1945.0
2023-01-24,1919.8
2023-01-25,1914.8
2023-01-26,1902.8
2023-01-27,1912.0
2023-01-30,1934.0
2023-01-31,2047.2
2023-02-01,2088.0
2023-02-02,2075.0
2023-02-03,2055.8
2023-02-06,2094.6
2023-02-07,2076.6
2023-02-08,2060.2
2023-02-09,2040.4
2023-02-10,2060.8
2023-02-13,2065.2
2023-02-14,2028.6
2023-02-15,1969.2
2023-02-16,1976.4
2023-02-17,1971.0
2023-02-20,1958.0
2023-02-21,1993.8
2023-02-22,1980.4
2023-02-24,1986.6
2023-02-27,2007.4
2023-02-28,2015.0
2023-03-01,2033.8
2023-03-02,1970.8
2023-03-03,1984.2
2023-03-06,1973.0
2023-03-07,1961.8
2023-03-09,1942.0
2023-03-10,1917.0
2023-03-13,1907.4
2023-03-14,1901.2
2023-03-15,1864.2
2023-03-16,1851.0
2023-03-17,1898.0
2023-03-20,1910.0
2023-03-21,1887.6
2023-03-22,1887.8
2023-03-23,1902.0
2023-03-24,1886.4
2023-03-27,1919.6
2023-03-28,1929.6
2023-03-29,1919.6
2023-03-30,1917.4
2023-03-31,1901.6
2023-04-03,1913.0
2023-04-04,1905.0
2023-04-05,1907.2
2023-04-06,1912.8
2023-04-07,1919.8
2023-04-10,1993.0
2023-04-11,1952.2
2023-04-12,1953.6
2023-04-13,1954.0
2023-04-14,1945.0
2023-04-17,1964.8
2023-04-18,1981.4
2023-04-19,1989.6
2023-04-20,2098.6
2023-04-21,2086.8
